osm_id,certificateNumber,registrationDate,construction_year,source_key
way/298850489,8717-7239-0870-6475-8992,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0002-3845-7990-9297-9855,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,9158-1088-7369-0647-2994,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8087-7239-0910-1405-8996,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0000-3845-7896-9297-0845,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8267-7239-0920-1465-8996,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8803-0250-0439-8597-0973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0802-3845-7993-9297-2841,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8177-7239-0940-4445-8992,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8307-6950-3339-0497-9973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8347-7639-0650-5365-9996,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8903-1650-6339-9697-1973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0806-3835-7494-9697-1955,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8367-7639-0690-4345-2992,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0008-3835-7696-9697-3255,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8901-1650-0339-4797-6973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8407-7539-0630-7365-9992,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,9958-4079-7319-0837-6980,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8701-0750-7339-8197-3973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0300-3835-7496-9997-6355,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8167-7939-0530-6375-3992,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8877-7939-0610-5385-3992,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0107-3835-7497-9997-1371,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,9558-8053-7369-0137-9910,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8307-9950-4339-8697-9973,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,0003-3835-7590-9997-1385,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,9958-1053-7389-0537-9924,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8807-7939-0660-4385-3996,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/298850489,8607-7939-0190-4325-2992,2013-01-15,2010,/sap_building_parts[0]/construction_year
way/394371927,8303-1569-3939-5426-3623,2012-06-26,2012,/sap_building_parts[0]/construction_year
way/394371931,8042-6536-9420-8976-3922,2012-06-26,2012,/sap_building_parts[0]/construction_year
way/394371933,0291-3896-6463-9522-1361,2012-06-26,2012,/sap_building_parts[0]/construction_year
way/360617973,8502-7239-0599-1375-0992,2012-11-15,2012,/sap_building_parts[0]/construction_year
way/360617971,9958-2950-7369-0332-2900,2012-11-15,2012,/sap_building_parts[0]/construction_year
way/360617972,9302-3835-7596-9292-2055,2012-11-15,2012,/sap_building_parts[0]/construction_year
way/360617974,0706-3831-7525-9297-9021,2013-02-19,2013,/sap_building_parts[0]/construction_year
relation/6171463,0708-3841-7964-9197-6891,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171462,0348-8084-7327-0247-1900,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0848-6025-7397-0647-1994,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0348-6025-7317-0947-1954,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0948-2026-7367-0247-1944,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0107-3844-7270-9107-3755,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8307-7137-0190-6494-5906,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0948-8055-7307-0147-1960,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0248-7025-7357-0847-1924,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8737-7137-0270-3484-6902,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0548-3017-7367-0047-1924,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8503-8140-3439-8207-1773,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8027-7137-0550-0424-5906,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171463,8709-8110-9439-5697-2673,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,9318-4001-7326-0047-2984,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,8677-7136-0800-0471-7996,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,8204-5210-1439-3197-8673,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,8137-7236-0030-3421-1996,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,8003-2210-2439-1797-9673,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,9318-3087-7396-0347-1974,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,9718-8037-7326-0047-1964,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,9718-7001-7346-0547-2914,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,9518-9070-7336-0847-2904,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171462,8701-5190-0439-7107-4773,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171463,0800-3841-7767-9297-0001,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171462,8977-7137-0100-7424-7906,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171463,8007-7236-0760-1421-0992,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171462,0704-3844-7171-9107-2735,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171463,8000-9240-4439-6727-7173,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171462,8927-7137-0610-3425-5902,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8508-0150-2439-1307-3773,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8505-5150-6439-9607-0773,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8977-7137-0390-9475-5902,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171463,0506-3844-7713-9227-7005,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171462,8708-4140-1439-4127-9173,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171462,8708-3140-1439-1107-9773,2013-03-04,2012,/sap_building_parts[0]/construction_year
relation/6171463,8005-4240-6439-2727-2173,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171462,8703-8150-2439-7107-1773,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171463,8387-7231-0100-0405-2926,2013-09-25,2012,/sap_building_parts[0]/construction_year
relation/6171462,8057-7137-0120-4495-7902,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,0058-7084-7337-0247-1920,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,0702-3845-7476-9107-5551,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,0608-3845-7176-9107-0761,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,0602-3845-7270-9107-4671,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,0201-3845-7277-9107-0691,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8397-7137-0340-0415-5906,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8977-7137-0510-8405-5902,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,0158-5017-7377-0647-1934,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,0758-0026-7327-0847-1954,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8607-7137-0280-1495-6906,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8504-2150-0439-8407-6773,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8500-6150-7439-8507-5773,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8703-6150-8439-1107-3773,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,0403-3845-7273-9107-3661,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8567-7137-0590-3465-5906,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8807-7137-0190-1465-7906,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,0158-6026-7337-0847-1970,2013-03-05,2012,/sap_building_parts[0]/construction_year
relation/6171462,8527-7635-0730-8899-9922,2013-05-21,2012,/sap_building_parts[0]/construction_year
relation/6171462,8817-7137-0290-0499-6906,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,8297-7137-0290-2419-6902,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0700-3849-7373-9107-6695,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171463,8009-7210-7439-6797-2673,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,9518-0090-7326-0047-2994,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,8417-7236-0120-8451-2992,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,9718-8012-7376-0347-2900,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,8737-7136-0330-0451-7996,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,8137-7136-0330-7441-7996,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,0903-3841-7963-9297-1085,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,0601-3841-7964-9297-4051,2013-06-19,2012,/sap_building_parts[0]/construction_year
relation/6171463,8227-7231-0940-7414-0922,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,8127-7131-0340-2435-7926,2013-09-25,2012,/sap_building_parts[0]/construction_year
relation/6171462,0005-3849-7173-9107-4775,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0705-3849-7371-9107-2545,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0401-3849-7479-9107-5591,2013-03-01,2012,/sap_building_parts[0]/construction_year
