osm_id,cell,u_roof,total_t,engaged,timestep_used,result,ctf_severe_present,verbatim_severe_line,end_line,annual_site_eui_kwh_m2,thermal_mass_false_eui_ref,pct_delta_vs_thermal_mass_false,run_dir,elapsed_s
way/772627024,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 169850 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.80sec,90.74166666666667,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627024,7.03
way/772627026,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 158985 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.07sec,115.79444444444445,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627026,7.25
way/772627027,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 167614 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  7.11sec,94.44999999999999,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627027,7.34
way/772627028,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 166527 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.23sec,96.18888888888888,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627028,7.46
way/772627029,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 167814 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  7.02sec,94.19722222222222,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627029,7.27
way/772627030,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 166774 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.95sec,95.71111111111111,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627030,7.18
way/772627031,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 168054 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.94sec,93.81666666666666,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627031,7.13
way/772627032,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 161596 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.09sec,106.73888888888888,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627032,7.32
way/772627033,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 164861 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.97sec,99.74166666666666,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627033,7.21
way/772627034,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 172691 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.98sec,85.13333333333334,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627034,7.21
way/772627035,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 166113 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.94sec,97.1611111111111,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627035,7.14
way/772627036,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 174502 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  7.21sec,82.23055555555554,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627036,7.4
way/772627037,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 168286 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.14sec,93.625,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627037,7.36
way/772627038,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 165913 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.93sec,97.38888888888889,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627038,7.12
way/772627039,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 165651 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  7.07sec,98.16944444444445,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627039,7.26
way/772627040,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 166814 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  7.12sec,95.53055555555557,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627040,7.31
way/772627041,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 165147 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.77sec,99.28611111111111,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627041,6.96
way/772627042,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 165179 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.71sec,99.14722222222223,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627042,6.89
way/772627043,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 175198 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.68sec,78.02777777777777,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627043,6.87
