Date/Time,RELATION_12765478_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),Electricity:Facility [J](Annual),DistrictHeating:Facility [J](Annual),Heating:DistrictHeating [J](Annual),InteriorEquipment:Electricity [J](Annual),Electricity:Building [J](Annual) 
 01/06  01:00:00,27917880.277748685,27066700.675299764,27065234.944754273,27312036.691176992,29226136.82925422,52925695.16344118 
 01/06  02:00:00,28510884.382124864,27698524.950238906,27694253.18282561,27944706.824854553,29961864.732775662,54981102.34935916 
 01/06  03:00:00,29323847.00845722,28559252.65530397,28556873.464178402,28813680.07151835,30927620.3570068,57116537.49843195 
 01/06  04:00:00,30400287.740484595,29693852.89988746,29699265.51704736,29964551.94752236,32150831.556560755,59084799.297544435 
 01/06  05:00:00,32448376.137461927,31831575.66316019,31853789.13850721,32132046.547571,34390698.89608838,62125884.99922384 
 01/06  06:00:00,33971090.990958154,33432460.14976458,33468575.865025934,33757674.84949568,36087687.999471866,64727725.56734129 
 01/06  07:00:00,33793466.04853156,33288849.86352693,33328658.528592713,33620810.391986,35977780.66732979,64651407.08495471 
 01/06  08:00:00,33248142.515446447,32756837.8671031,32796139.69316439,33087401.582002547,35448906.313782975,63918421.02451688 
 01/06  09:00:00,32519686.07748917,32035212.841870837,32072591.19397526,32361881.378640927,34718555.54606236,62809858.22703301 
 01/06  10:00:00,31723720.163008552,31251720.013433978,31298710.10421826,31591256.332275365,33902037.1544881,60910547.584931 
 01/06  11:00:00,29830346.74988984,29425206.402330946,29549355.70182355,29880268.250242673,31963390.43712777,54141553.737064 
 01/06  12:00:00,24875441.669217966,24476216.61868426,24726432.877424836,25119729.002404165,26681098.198722575,39162463.44378975 
 01/06  13:00:00,20223710.384621475,19827964.860468514,20219173.335674655,20686605.82278171,21776850.777308963,26091824.037045807 
 01/06  14:00:00,19238014.39862001,18840566.794597365,19266252.768101577,19742918.40797513,20720568.955393404,24300572.96672619 
 01/06  15:00:00,19769162.72892403,19348428.523509823,19775534.35765627,20259861.828261968,21325433.034349184,26937208.76835873 
 01/06  16:00:00,18226360.240321863,17852423.995921165,18342815.690341964,18866013.93589906,19954826.511048045,26076489.458302535 
 01/06  17:00:00,16337588.855250787,15955273.530990697,16527330.129310034,17125512.72244043,18382313.296350416,26989280.160632946 
 01/06  18:00:00,18293808.3748638,17703539.40813093,18142208.454321392,18696590.33092181,20310232.35276952,35874252.715916164 
 01/06  19:00:00,27897625.078088608,27144303.985882726,27292627.28820624,27646586.056088593,29552697.061391685,52739634.51741883 
 01/06  20:00:00,30595012.201647732,29913477.816262487,30048953.845887847,30401755.732026625,32478473.215732925,58304288.8281897 
 01/06  21:00:00,31994676.312999442,31372877.85265827,31497976.415882837,31847765.904951774,34033777.2155328,61248769.12749242 
 01/06  22:00:00,32795922.181585673,32224658.174550563,32343030.635615285,32690566.48425277,34946929.51649254,62798683.15274207 
 01/06  23:00:00,34304024.55318923,33799492.046280324,33915293.255714744,34262872.86494366,36597432.301137984,65375833.852047704 
 01/06  24:00:00,35503974.70639753,35053687.687803194,35166575.417013966,35513651.381005675,37911504.34296268,67425961.40223293 
 01/07  01:00:00,36481424.2989437,36069957.83118461,36177284.99014244,36520673.80788302,38945872.82492203,68530713.66867152 
 01/07  02:00:00,38109461.57588352,37767439.92797449,37878583.466196015,38224215.32590467,40700967.27890921,70952255.62107135 
 01/07  03:00:00,38815971.21744601,38531660.155780904,38648667.798743695,38997965.56744957,41513981.751554415,72163703.28149849 
 01/07  04:00:00,37600593.07828792,37345392.03389701,37470010.77606395,37819062.27683893,40278082.83523095,69493490.59532979 
 01/07  05:00:00,36456773.61976889,36207840.16997787,36333815.63583799,36678649.53658596,39079668.65002464,67019445.38915994 
 01/07  06:00:00,36655850.23148214,36437676.269753195,36569112.98575844,36914638.85169456,39310054.06711197,67176830.5742605 
 01/07  07:00:00,37255972.97752636,37082355.158474356,37222314.66857607,37570999.21155037,39976768.24746535,68060273.99191482 
 01/07  08:00:00,37538862.877689704,37397851.3031697,37543210.81479694,37893160.788643956,40302534.28852134,68457539.61947902 
 01/07  09:00:00,37642758.97524263,37525810.18497454,37674678.708634056,38024535.02218257,40431126.0815582,68554680.90743123 
 01/07  10:00:00,37783821.15346804,37695991.57553913,37851991.38557939,38203992.17298283,40604304.36884956,68601444.88089064 
 01/07  11:00:00,38664715.7352923,38599642.911122575,38747084.07812978,39089193.384276055,41468518.33068651,69344894.80695912 
