building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,eui_denominator_m2,context_building_count,fallback_reason
28835,db5c66cd9b3d0cf3,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,edee1165ba3beef3cf0e4d063e0d35382c484e122e9d1fcf52bafccc8c9a3f29,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,5412.4695,5412.4695,5327.602,5327.602,12,near_duplicate_vertex_tolerated_box
28843,806aa00f9bbae06c,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,fe1f259ebad98f27b6f8ab864d6c92d9b4d7cc38414c6110b4179e04ece51686,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,626.9518,626.9518,570.5261,570.5261,9,
28844,d1f7a5a20a56883e,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,b10907fe83a113c00267ad508970827bc3def84c0b44f61872846f2a0c1ac042,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,1867.6868,1867.6868,1867.6868,1867.6868,8,
28857,34f47dfa5f0323b6,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,1f38fa23b7061d8ed2b16a9a896dd0a6a2bfc9499fa14b99e70c74dee2b7cb77,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,4680.2646,4680.2646,4259.0408,4259.0408,14,
28859,1dd017c48425935c,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,f5417a021348e937192b538cf5aa5557f93f347cf15bea475a6aed6a3613d76b,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,12139.0744,12139.0744,11310.8742,11310.8742,8,near_duplicate_vertex_tolerated_box
28861,690548917866c5da,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,581ab95c2ae2d019c9442c934ac18e043766f3468be6947c52f750acad85d9f4,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,886.8608,886.8608,886.8608,886.8608,9,near_duplicate_vertex_tolerated_box
28864,1f7ade4ed2690e6c,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,31cd4b97afcbe63133b1ad279d6eceeccad9c2267b5b34851bef2f79c975f892,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,3501.3162,3501.3162,3501.3162,3501.3162,14,near_duplicate_vertex_tolerated_box
28873,d0f9b08020bf9117,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,54dfcc314e2b41a5c4e51343eed932cb768a8424887f1724e0d88d6f16a815d4,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,1767.1606,1767.1606,1739.3113,1739.3113,10,near_duplicate_vertex_tolerated_box
28891,844c63b9bc1643a9,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,5f2744bf6f524a176b84c4f9af3c3ae72dc7fb4987aef4ab6909c24aaad5c6b9,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,4145.3768,4145.3768,3861.1222,3861.1222,11,near_duplicate_vertex_tolerated_box
28903,3ca514ea8eaff18e,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,288bc31b2e251ca2ec9c028ab5173b4ef003fbab3dc355844baf208f17552769,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,1230.9663,1230.9663,1230.9663,1230.9663,9,
28908,aeb80ca8e9013c02,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,ae5ece5dc498e64bade781c1591f94c933f837c56522b04eb2371f8f13187801,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,3468.8656,3468.8656,3468.8656,3468.8656,11,
28912,d97381b6a267e959,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,b7c82fac5aae5de9a6771c1296732cc6eb19b6f14d0cc68f91220315639403d5,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,2314.7425,2314.7425,2314.7425,2314.7425,10,
28917,a1ca1eb2956d126e,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,4cb2f1e6b8691bf3a8350235850a2e8f15229b5b679bd35b444e7645b33853da,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,115.9461,115.9461,115.9461,115.9461,4,
28931,e455150d701a9474,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,c72d49acc840217ed0a89c38b717033138ca78b3e6f3a1667bf3e577a008462a,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,1823.7377,1823.7377,1751.2794,1751.2794,10,near_duplicate_vertex_tolerated_box
28959,9ef2a3f29fcb2dcf,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,5c98fe1c57b452241f7b3ce7c91e001a3d66d5e0220740b26ec56a2c9e10e3f1,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,2507.9065,2507.9065,2336.6396,2336.6396,10,near_duplicate_vertex_tolerated_box
28960,e7abb5d8fc7fa5bf,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,b3e29053490250936b1bf4c37efe66b8244746b3f5e815e6a7f946ba694046d9,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,2395.4418,2395.4418,2395.4418,2395.4418,12,
28968,ba6960bfea4d1476,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,b5f90423f0bed5b558b10a78138d0b607ae6671d5c3462168a4d11a64bb3537b,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,2102.7298,2102.7298,2102.7298,2102.7298,12,near_duplicate_vertex_tolerated_box
28969,2b1ea068842e0aba,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,dd67491a5540aac8bc208ef79bb63be307427294ca7c3365d112b344375f4369,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,5186.4951,5186.4951,5186.4951,5186.4951,12,
28971,028dbfb8919c6f31,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,798b6598165c43f1761dac801edba8a38551a0ef45ac9d2d9cc4e6643b9b920f,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,8475.0858,8475.0858,8475.0858,8475.0858,11,
28980,0ee15bce2a9a8e90,IT.MidClim.AB.01.Gen.ReEx.001.001,AB,IT.01,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,f851b5325929f518a35b40596d2fc0d33363a444aa69b8ab8f01a1264eae15d4,ab631c6026e3f7cf5cfcff7c6a506eb84b6eeb62f1afa5703fc48ef0897e25fa,IMPUTED_CENSUS_SECTION_CONSTRUCTION_PERIOD,4462.722,4462.722,4462.722,4462.722,10,
