osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_gas_eui_kwh_m2,dhw_elec_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,elevators_eui_kwh_m2,total_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_fans_kgco2_m2,gwp_pumps_kgco2_m2,gwp_dhw_kgco2_m2,gwp_cooking_kgco2_m2,gwp_refrigeration_kgco2_m2,gwp_elevators_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/266170715,359.8204978330972,5.0,17.5,SmallOffice,one_zone_per_floor,"generic_tag,no_function,no_year|GROUPMODE_MED",27.382457677016593,8.47741562999052,26.465103453355983,27.764781053514422,7.763963137020518,0.0,0.0,1.7713600577829658,1.7713600577829658,0.0,0.0,0.0,99.62508100868101,4.9562248395400035,1.8893785762872473,5.8983305368563546,6.187992282958866,1.7303699922740368,0.0,0.3947865587982051,0.0,0.0,0.0,21.057082786714712,0.0,success,,-79.48874388437419,-1.4904527001327723e-11
way/266170718,169.36484741365877,6.0,21.0,SmallOffice,one_zone_per_floor,"generic_tag,no_function,no_year|GROUPMODE_MED",52.88073553499956,8.910488123212371,26.465100598106044,27.764778058045717,11.247606689484307,0.0,0.0,2.06910847972218,2.06910847972218,0.0,0.0,0.0,129.3378174835702,9.57141313183492,1.9858983089965874,5.89832990050109,6.1879916153527645,2.5067765980987464,0.0,0.4611463450926417,0.0,0.0,0.0,26.61155589987675,0.0,success,,-79.48874388750723,2.439114962767468e-09
way/266170719,353.86515153622656,11.0,38.5,MediumOffice,one_zone_per_floor,"generic_tag,no_function,no_year|GROUPMODE_MED",43.277242646095075,12.6338970290694,26.465100598307856,44.063276092457826,37.34769947632991,0.0,4.262252412695966,0.0,4.262252412695966,0.0,0.0,3.5356589576680797,171.58512721262414,7.833180918943208,2.8157418986627554,5.898329900546068,9.820470469278261,8.3237564776886,0.0,0.77146768669797,0.0,0.0,0.7879993832134002,36.25094673503026,0.0010350227053367938,success,,-79.4887438832936,-1.2969159897138967e-09
way/266170721,720.5337078043971,14.0,49.0,LargeOffice,perimeter_core,"no_floors,no_year|GROUPMODE_MED",116.51442212777438,23.0151249624339,26.46510202625104,44.06327846992091,45.726093788685304,12.134468126598364,3.1349034621699965,0.0,3.1349034621699965,0.0,0.0,7.680387209194371,278.7337801730282,21.089110405127162,5.129426930627568,5.898330218794621,9.820470999148212,10.19106597487187,2.7044331803112303,0.5674175266527693,0.0,0.0,1.7117432580875678,57.111998493620995,9.703861750870103e-05,success,,-79.4887341069873,4.9136998187456904e-05
way/266170723,498.8507149252913,18.0,63.0,MediumOffice,one_zone_per_floor,"generic_tag,no_function,no_year|GROUPMODE_MED",28.041241735863483,10.68696258727302,26.465100004574687,44.063275103916396,27.456510628694765,0.0,3.805004132563508,0.0,3.805004132563508,0.0,0.0,3.5466673204313386,144.0647615133172,5.07546475419129,2.3818247257507124,5.898329768219569,9.820470248960055,6.1192874368384595,0.0,0.688705747993995,0.0,0.0,0.7904528390391733,30.77453552099325,0.0,success,,-79.48877418928325,1.5433560192668057e-05
way/266170724,411.20080190621593,15.0,52.5,MediumOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",34.66791760020871,11.443691292970845,26.465100598124952,44.06327609215006,31.70411527927227,0.0,3.9603017364892477,0.0,3.9603017364892477,0.0,0.0,3.539256345157647,155.84365894437371,6.2748930856377765,2.550478365846998,5.898329900505304,9.820470469209669,7.065959580521969,0.0,0.7168146143045538,0.0,0.0,0.788801140157975,33.11574715618424,1.2584406914954924e-05,success,,-79.48876798712111,-2.9029043796813838e-05
way/266170725,163.17809459834004,3.0,10.5,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",51.57443275512453,8.50438513899222,26.465100598294743,27.764778058243678,10.802101889147039,0.0,0.0,2.7978975155970445,2.7978975155970445,0.0,0.0,0.0,127.90869595539925,9.33497232867754,1.8953893246974738,5.898329900543145,6.187991615396885,2.407486052237979,0.0,0.6235730150961445,0.0,0.0,0.0,26.347742236649168,0.0,success,,-79.48874389844823,-2.2795126623369507e-08
way/266170726,187.58925253299134,5.0,17.5,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",48.15286388450284,8.77505925374944,26.465100642669807,27.764778104797966,10.05951889904431,0.0,0.0,2.1250280549100715,2.1250280549100715,0.0,0.0,0.0,123.34234883967444,8.715668363095014,1.955715006001645,5.898329910433104,6.187991625772532,2.241985096067803,0.0,0.47360925265391746,0.0,0.0,0.0,25.47329925402402,0.0,success,,-79.48875457169945,-2.3892738407960263e-05
way/266170727,1782.7274180307825,8.0,28.0,LargeOffice,perimeter_core,"generic_tag,no_floors,no_function",47.80460635159039,18.86247007881251,26.46510065336806,44.06327618413035,35.30755505465021,8.605972246880254,2.7426578248558062,0.0,2.7426578248558062,0.0,0.0,6.86290520041283,190.7145435947004,8.65263374963786,4.203916431405101,5.898329912817446,9.8204704897095,7.869065410140001,1.9180302466066959,0.4964210662989009,0.0,0.0,1.5295494078264082,40.38841671444192,0.0012515735550578887,success,,-79.48874388971477,6.520203260659911e-10
way/266170728,312.94168624836686,7.0,24.5,SmallOffice,one_zone_per_floor,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",31.01549447647175,7.894346064174842,26.465100597927332,27.764778057858223,7.970220737245786,0.0,0.0,1.7038161364353093,1.7038161364353093,0.0,0.0,0.0,102.81375607011323,5.613804500241387,1.7594286960147754,5.89832990046126,6.1879916153109775,1.7763390361514426,0.0,0.37973290995961023,0.0,0.0,0.0,21.61562665813945,0.0,success,,-79.48874388439853,5.3299445290304395e-12
