cell_id,archetype_id,survey_fold,sensitivity_f,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.SFH.02.Gen.ReEx.001.001__f100,ES.ME.SFH.02.Gen.ReEx.001.001,es,1.0,ATTEMPTED,True,COMPLETED,0,0,0,45465.00358956226,2.253,True,False,False,10b47c6a1c0f2c4a243c8d5030841faaee32534f86f26c2b69ff96600d102d1d,
es__ES.ME.SFH.03.Gen.ReEx.001.001__f000,ES.ME.SFH.03.Gen.ReEx.001.001,es,0.0,ATTEMPTED,True,COMPLETED,0,0,0,89578.38571274104,2.059,True,False,False,86026a08ac9f27dd3184fa63048748ecf8669169dcea5f132c142dbc53fef1ab,
es__ES.ME.SFH.03.Gen.ReEx.001.001__f015,ES.ME.SFH.03.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,89559.62225711453,1.954,True,False,False,ce4b6c5198bed63e9f7452f8dc92ac3f84301e352492d9e2343025959676185c,
es__ES.ME.SFH.03.Gen.ReEx.001.001__f030,ES.ME.SFH.03.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,89542.7195801543,2.183,True,False,False,a4c2545856dfc6f02621a4fa389e6e3b67ea71750c37e976947aec9f8b7c5cd9,
es__ES.ME.SFH.03.Gen.ReEx.001.001__f050,ES.ME.SFH.03.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,89524.05253236678,2.312,True,False,False,3206f08eb0ff1317066051a07f37cb1227abd11381d98eceefb332bdbbbe0243,
es__ES.ME.SFH.03.Gen.ReEx.001.001__f100,ES.ME.SFH.03.Gen.ReEx.001.001,es,1.0,ATTEMPTED,True,COMPLETED,0,0,0,89497.88075091621,2.278,True,False,False,6b8614b489be110db540cf32d2df90660869649734adc552f126ae628a2553df,
es__ES.ME.SFH.04.Gen.ReEx.001.001__f000,ES.ME.SFH.04.Gen.ReEx.001.001,es,0.0,ATTEMPTED,True,COMPLETED,0,0,0,33643.004079916944,2.266,True,False,False,a72e4364583473f5e677d92cd06fbbb6b15c50c234f455b589160e90bc93c7e2,
es__ES.ME.SFH.04.Gen.ReEx.001.001__f015,ES.ME.SFH.04.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,33628.55481728233,2.221,True,False,False,c30a903572f8d1491c8872126bec987aa7d20b6ac065698e55007e85823c5f2c,
es__ES.ME.SFH.04.Gen.ReEx.001.001__f030,ES.ME.SFH.04.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,33614.58400564371,2.052,True,False,False,d98e919ccae2b2d77a61456bc9ffda35aa3dc12b87b8315eb1c7e5569dbbf337,
es__ES.ME.SFH.04.Gen.ReEx.001.001__f050,ES.ME.SFH.04.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,33596.61708937264,2.081,True,False,False,dfed6ffe331ed0deae309b424b2ea8c3c1620c782a28c62f02952a6fc9813f52,
