cell_id,archetype_id,survey_fold,sensitivity_f,replicate,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.AB.03.Gen.ReEx.001.001__f100,ES.ME.AB.03.Gen.ReEx.001.001,es,1.0,1,ATTEMPTED,True,COMPLETED,0,0,0,113808.40655231083,3.773,True,False,False,20dc0bf0c61830a2e3d2cdb32ffe0068a2e65d475e77425667ea11ebfb297699,
es__ES.ME.AB.03.Gen.ReEx.001.001__f100,ES.ME.AB.03.Gen.ReEx.001.001,es,1.0,2,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.459,False,False,False,6a6f8fd4c7a49ee032790228bb8c388afc022a8bfa69ef002a416c80bca7a726,
es__ES.ME.AB.03.Gen.ReEx.001.001__f100,ES.ME.AB.03.Gen.ReEx.001.001,es,1.0,3,ATTEMPTED,True,COMPLETED,0,0,0,114069.93678311445,3.922,True,False,False,348a8b0137bb7a0bfd5bed571900a43bf506724ad2b1c83e09da3ec25cd8fe75,
es__ES.ME.AB.04.Gen.ReEx.001.001__f000,ES.ME.AB.04.Gen.ReEx.001.001,es,0.0,1,ATTEMPTED,True,COMPLETED,0,0,0,161347.73957082207,3.387,True,False,False,7efee5a3e1ce6513048bbfde07029ce2390fe5da598498d563756378730464d2,
es__ES.ME.AB.04.Gen.ReEx.001.001__f000,ES.ME.AB.04.Gen.ReEx.001.001,es,0.0,2,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.432,False,False,False,3ba31c5f3e390ebc0f29f5bb6c3d1987a1392c09536bc5153d0e62060bffbfc0,
es__ES.ME.AB.04.Gen.ReEx.001.001__f000,ES.ME.AB.04.Gen.ReEx.001.001,es,0.0,3,ATTEMPTED,True,COMPLETED,0,0,0,161347.73957082207,3.374,True,False,False,c3b325243725fdc545a397685ea27945b2a0347237b706951592dee50a5bc776,
es__ES.ME.AB.04.Gen.ReEx.001.001__f015,ES.ME.AB.04.Gen.ReEx.001.001,es,0.15,1,ATTEMPTED,True,COMPLETED,0,0,0,160446.58513559392,3.367,True,False,False,33698ecfa442c4cade69510c8142fbb170fb451c7c7c9cdab3449d63a1b20a32,
es__ES.ME.AB.04.Gen.ReEx.001.001__f015,ES.ME.AB.04.Gen.ReEx.001.001,es,0.15,2,ATTEMPTED,True,COMPLETED,0,0,0,161355.02718367876,3.431,True,False,False,421004a33524e77453191251f97caf5df92ae19a79d4afe97b87c3dbc7cce20e,
es__ES.ME.AB.04.Gen.ReEx.001.001__f015,ES.ME.AB.04.Gen.ReEx.001.001,es,0.15,3,ATTEMPTED,True,COMPLETED,0,0,0,161355.02718367876,3.185,True,False,False,c6a826fa793ca18996dbb14cfc9aa31daadec5a3072b95eec2318ea31e14d16b,
es__ES.ME.AB.04.Gen.ReEx.001.001__f030,ES.ME.AB.04.Gen.ReEx.001.001,es,0.3,1,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.43,False,False,False,3820dcc57b3986a01c9c093932f99cda3c222716778e16a22cacca57d8de5101,
es__ES.ME.AB.04.Gen.ReEx.001.001__f030,ES.ME.AB.04.Gen.ReEx.001.001,es,0.3,2,ATTEMPTED,True,COMPLETED,0,0,0,161366.2250152916,3.369,True,False,False,eae1f339bf5655b9eb190bf1212f0210f224fbe05a506e62904fc3e902eaa5cc,
es__ES.ME.AB.04.Gen.ReEx.001.001__f030,ES.ME.AB.04.Gen.ReEx.001.001,es,0.3,3,ATTEMPTED,True,COMPLETED,0,0,0,161366.2250152916,3.367,True,False,False,f8f18ade1b336df3256c66afc705104234067fd06ec76659707622cda182d2d0,
es__ES.ME.AB.04.Gen.ReEx.001.001__f050,ES.ME.AB.04.Gen.ReEx.001.001,es,0.5,1,ATTEMPTED,True,COMPLETED,0,0,0,159144.06631394994,3.399,True,False,False,f405ee675b9851e502081cb589e7f04b3585df7ec25ed908e0ba1fe6ff4b6a6e,
