cell_id,archetype_id,survey_fold,sensitivity_f,mode,replicate,idf_sha256,heating_kwh,completed,completion_status,return_code,severe_count,fatal_count,runtime_s,marker_psy,marker_inside_hb,marker_calchb,error
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,ES.ME.AB.01.Gen.ReEx.001.001,es,0.0,thread,3,34c379b6ef0dd68756ed869dd25ea1bbcac4e6bee295cac0b49fca031e814623,177928.78032852308,True,COMPLETED,0,0,0,2.323,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f015,ES.ME.AB.01.Gen.ReEx.001.001,es,0.15,thread,1,78ad298e5140d40af4d8d67175e9f5cfe4afee6fba4a06c3a0ec0f6e5ff3842d,177889.98714490884,True,COMPLETED,0,0,0,2.08,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f015,ES.ME.AB.01.Gen.ReEx.001.001,es,0.15,thread,2,b713e5c5fd5eb040339fd81bea7721dc12c6764ee816ed3a6d151f36ab38e13f,177889.98714490884,True,COMPLETED,0,0,0,1.892,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f015,ES.ME.AB.01.Gen.ReEx.001.001,es,0.15,thread,3,492d4b319bf4fd55fa5572d49c1bdf4054512cf1e39f46ff1304e97690d146a4,177889.98714490884,True,COMPLETED,0,0,0,1.881,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,ES.ME.AB.01.Gen.ReEx.001.001,es,0.3,thread,1,44eef08f7a8c761f3caa1b799758b87eb0f5e6e59963582b92fcfda51fc4ced8,177853.4447974208,True,COMPLETED,0,0,0,2.074,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,ES.ME.AB.01.Gen.ReEx.001.001,es,0.3,thread,2,24d64bd1893e8849374f75701168854c4bbc1c4d9c48e27785bcc499a23251c7,177853.4447974208,True,COMPLETED,0,0,0,1.834,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,ES.ME.AB.01.Gen.ReEx.001.001,es,0.3,thread,3,abb984f0bb849b105632ff1442acc6886dac152421c0dc1dc6b1cdd8d7c7fe01,177853.4447974208,True,COMPLETED,0,0,0,1.744,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f050,ES.ME.AB.01.Gen.ReEx.001.001,es,0.5,thread,1,91d35a13e0bd46d7ebe8f8980193fc0426e335f30e0e4b7d0766906f8a2425ef,177808.44960956744,True,COMPLETED,0,0,0,1.841,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f050,ES.ME.AB.01.Gen.ReEx.001.001,es,0.5,thread,2,40089668e643ff25961b683d74e57ae7bf089d461ce93c17b01bd03997350c2a,None,False,ENGINE_FAILED,1,1,1,0.411,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f050,ES.ME.AB.01.Gen.ReEx.001.001,es,0.5,thread,3,c1258ec44ce18e296c4f6ea4c2743f52660b8a49459a57874f0a59c4301a65e8,177808.44960956744,True,COMPLETED,0,0,0,1.738,True,False,False,
