cell_id,archetype_id,survey_fold,sensitivity_f,class,n_replicates,heating_kwh,bitwise_identical,severe_max,fatal_max,certified,reason
it__IT.MidClim.AB.04.Gen.ReEx.001.001__f015,IT.MidClim.AB.04.Gen.ReEx.001.001,it,0.15,ATTEMPTED,3,172752.95774970631,True,0,0,True,certified
it__IT.MidClim.AB.04.Gen.ReEx.001.001__f030,IT.MidClim.AB.04.Gen.ReEx.001.001,it,0.3,ATTEMPTED,3,,False,0,0,False,replicates_disagree
it__IT.MidClim.AB.04.Gen.ReEx.001.001__f050,IT.MidClim.AB.04.Gen.ReEx.001.001,it,0.5,ATTEMPTED,3,,False,0,0,False,replicates_disagree
it__IT.MidClim.AB.04.Gen.ReEx.001.001__f100,IT.MidClim.AB.04.Gen.ReEx.001.001,it,1.0,ATTEMPTED,3,,False,1,1,False,not_all_completed
it__IT.MidClim.AB.05.Gen.ReEx.001.001__f000,IT.MidClim.AB.05.Gen.ReEx.001.001,it,0.0,ATTEMPTED,3,306891.17890650383,True,0,0,True,certified
it__IT.MidClim.AB.05.Gen.ReEx.001.001__f015,IT.MidClim.AB.05.Gen.ReEx.001.001,it,0.15,ATTEMPTED,3,306857.99216803396,True,0,0,True,certified
it__IT.MidClim.AB.05.Gen.ReEx.001.001__f030,IT.MidClim.AB.05.Gen.ReEx.001.001,it,0.3,ATTEMPTED,3,306830.2151557878,True,0,0,True,certified
it__IT.MidClim.AB.05.Gen.ReEx.001.001__f050,IT.MidClim.AB.05.Gen.ReEx.001.001,it,0.5,ATTEMPTED,3,306802.1950676471,True,0,0,True,certified
it__IT.MidClim.AB.05.Gen.ReEx.001.001__f100,IT.MidClim.AB.05.Gen.ReEx.001.001,it,1.0,ATTEMPTED,3,306781.7344347036,True,0,0,True,certified
it__IT.MidClim.AB.06.Gen.ReEx.001.001__f000,IT.MidClim.AB.06.Gen.ReEx.001.001,it,0.0,ATTEMPTED,3,,False,0,0,False,replicates_disagree
it__IT.MidClim.AB.06.Gen.ReEx.001.001__f015,IT.MidClim.AB.06.Gen.ReEx.001.001,it,0.15,ATTEMPTED,3,,False,1,1,False,not_all_completed
