Date/Time,BATIMENT0000000357175643_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 11/08  06:00:00,2825216.9206556557,2827527.9673761786,4053892.838791857 
 11/08  07:00:00,2826705.5652112076,2830932.930314661,4064918.2793422583 
 11/08  08:00:00,2846866.3259564536,2852040.834580966,4090105.41318337 
 11/08  09:00:00,2823471.661074849,2822729.979938973,4031003.6954513933 
 11/08  10:00:00,2502091.637656275,2473628.553509977,3478978.8979314063 
 11/08  11:00:00,2007757.1589058028,1879032.0003429498,2667001.3675439726 
 11/08  12:00:00,1519113.8282345065,1229736.8825394085,1903110.1740342123 
 11/08  13:00:00,1115354.7517402447,777121.6950727262,1298273.5608323338 
 11/08  14:00:00,815736.7860116217,515057.11757636315,873310.7640656286 
 11/08  15:00:00,637425.9243219115,453969.4349621132,625296.7660650684 
 11/08  16:00:00,543990.0556410474,445766.3481618402,566399.1318862492 
 11/08  17:00:00,579787.6428380398,489979.3751211743,822413.6397807518 
 11/08  18:00:00,876947.1881219993,803702.6586815432,1411906.0046958039 
 11/08  19:00:00,1283934.3473176626,1220447.9991970125,1917843.6799997473 
 11/08  20:00:00,1506730.8068836275,1447049.0210743789,2152035.709138772 
 11/08  21:00:00,1567004.7033231743,1509154.5398496063,2181627.7486639614 
 11/08  22:00:00,1582718.7324535372,1527850.7464573137,2184991.667024901 
 11/08  23:00:00,1585863.7096126927,1535672.5127436337,2202982.2461284 
 11/08  24:00:00,1553625.0260775764,1506976.499199307,2168540.8331706137 
 11/09  01:00:00,1495206.2480735164,1449726.2077850106,2079237.4551095602 
 11/09  02:00:00,1463970.7007695544,1419565.8121915632,2030518.749721176 
 11/09  03:00:00,1406860.604876325,1364490.1712132755,1962339.5263621882 
 11/09  04:00:00,1336507.3086392435,1295730.9815024429,1879017.6834404208 
 11/09  05:00:00,1270510.6122726407,1231120.6048165003,1801657.970323911 
 11/09  06:00:00,1226247.5290818869,1187817.0853607103,1747831.7967808123 
 11/09  07:00:00,1204234.176561414,1166552.8152350264,1718199.0028580788 
 11/09  08:00:00,1210391.3049014367,1173330.9198862866,1721227.9840671197 
 11/09  09:00:00,1264369.2006756442,1227286.9164048717,1781182.3547978278 
 11/09  10:00:00,1405337.6937346635,1364342.9790918853,1924985.2095693508 
 11/09  11:00:00,1448101.0168100577,1407276.503518023,1966576.8918309463 
