building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,context_building_count
way/432411820,4b36088fc5b74126,ES.ME.AB.06.Gen.ReEx.001.001,AB,ES.06,FALLBACK_PENDING_LAYOUT,ccab6c4f93d0ce97fd8a2591e52673cabed6c79f0af395d25acaed52d0a44f2e,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,717.9908,717.9908,717.9908,16
way/432411821,e36f0af33013532e,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,f3f2bfe2b14a31d0d3fa2ab50c7c4a88e536e3c21762d8bde367af3b10e7b2ed,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,232.9006,232.9006,232.9006,15
way/432411823,f06e86db934a2b61,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,284c795a62ae722c3b2f37930beedec03b1ff259e10e3a6391956b68b2932515,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,238.9644,238.9644,238.9644,16
way/432411824,63351c11ccdf60d0,ES.ME.SFH.02.Gen.ReEx.001.001,SFH,ES.02,DWELLING_LAYOUT_EMITTED,10d62cddb1a8a50c9f76641d1a90500636489282ceef1b5a680c9d1e7782eea2,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,59.0776,59.0776,59.0776,16
way/432411825,b0b38409307d588b,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,4d40a197ed71aa9acf6e3174e10cd74f0d4e87fc752f9e4e4067bdfdd67e5896,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,73.8344,73.8344,73.8344,15
way/432412733,35c5826f31108fd9,ES.ME.SFH.05.Gen.ReEx.001.001,SFH,ES.05,FALLBACK_PENDING_LAYOUT,5fcb642d1b6d44445ee3dd26576eef630770e6614cd8adf202697396d87175d7,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,125.9857,125.9857,125.9857,12
way/432412734,d51c623734d66bde,ES.ME.AB.06.Gen.ReEx.001.001,AB,ES.06,DWELLING_LAYOUT_EMITTED,e28718f4eb7e0d41a2a4214c4fddf847005806ad25befd494cd8504999ddac3f,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,469.5305,469.5305,427.2727,11
way/432412735,fee5a5f993e4590d,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,da698b2a4799a2f1cc9302eaf08d2e1ed6053d2df83c9425e2b92f8b4076de4e,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,375.7174,375.7174,375.7174,10
way/432412736,56673578bff114d5,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,80735899e40d92d84f3eff00a5e63e7a9150ee7533b28841c640c4e9b1238110,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,2144.0291,2144.0291,2144.0291,13
way/432412737,fbc61203af96498d,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,8b1d2c842ad1bd3678614554995e60d5e0126e07d09d8587810fa56117397325,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1267.9291,1267.9291,1153.8155,12
