building_id,stage,blocker,detail
way/1430536839,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430536840,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430536863,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430536864,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430536873,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430536875,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430536876,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430536882,base_mapping,PERIOD_STRADDLE_C_GB.02_GB.03,
way/1430536883,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430536884,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430536891,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430536892,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430536893,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430536895,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430549423,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430549424,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430549425,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430549434,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430549436,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430549437,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430549448,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430549456,base_mapping,PERIOD_STRADDLE_F_GB.04_GB.05,
way/1430549459,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430549460,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430549468,base_mapping,PERIOD_STRADDLE_F_GB.04_GB.05,
way/1430549469,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430549470,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430549476,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1430549478,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_D|H,
way/1430549488,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1430549490,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_B|D|E,
way/1430549491,base_mapping,PERIOD_STRADDLE_D_GB.03_GB.04,
way/1432575673,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1432575674,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1432575675,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1432575677,base_mapping,PERIOD_STRADDLE_B_GB.01_GB.02,
way/1432575678,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1432575679,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1432575680,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1432575692,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1432575693,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1432575697,base_mapping,PERIOD_STRADDLE_B_GB.01_GB.02,
way/1432575709,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_G|I,
way/1432575710,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_G|H,
way/1432575711,base_mapping,PERIOD_STRADDLE_DISJOINT_BANDS_G|H,
way/1432575712,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
way/1432575713,base_mapping,MISSING_OBSERVED_EPC_AGE_BAND,
