cell,osm_id,archetype_id,levels,footprint_area_m2,floor_area_m2,is_under_500m2,n_proto_geometric,has_baseline,category_geometric,category_registry_alt
nyc_urban,way/241862507,OpenUBEMUnknown,1.0,43.88083699653436,43.88083699653436,True,,False,no_baseline,
nyc_urban,way/241862510,OpenUBEMUnknown,1.0,27.904981249697904,27.904981249697904,True,,False,no_baseline,
nyc_urban,way/241862512,SmallOffice,2.0,29.311782341281223,58.623564682562446,True,2.0,True,equal,
nyc_urban,way/241862515,SmallOffice,3.0,51.27997139897583,153.8399141969275,True,2.0,True,taller,
nyc_urban,way/241862518,OpenUBEMUnknown,1.0,26.50113261726561,26.50113261726561,True,,False,no_baseline,
nyc_urban,way/241862520,SmallOffice,3.0,73.99274952715663,221.9782485814699,True,2.0,True,taller,
nyc_urban,way/241862523,OpenUBEMUnknown,1.0,36.44894594998665,36.44894594998665,True,,False,no_baseline,
nyc_urban,way/241862526,OpenUBEMUnknown,1.0,33.860838436122485,33.860838436122485,True,,False,no_baseline,
nyc_urban,way/241862528,SmallOffice,2.0,72.30771243956403,144.61542487912806,True,2.0,True,equal,
nyc_urban,way/241862531,SmallOffice,4.0,98.31498675806226,393.25994703224904,True,2.0,True,taller,
nyc_urban,way/241862536,MediumOffice,4.0,235.42210630049044,941.6884252019618,False,3.0,True,taller,
nyc_urban,way/241862539,OpenUBEMUnknown,1.0,32.74561911993757,32.74561911993757,True,,False,no_baseline,
nyc_urban,way/241862542,SmallOffice,3.0,65.83751610330722,197.51254830992167,True,2.0,True,taller,
nyc_urban,way/241862543,SmallOffice,3.0,116.80302364823186,350.4090709446956,True,2.0,True,taller,
nyc_urban,way/241862544,SmallOffice,3.0,76.15906312164475,228.47718936493425,True,2.0,True,taller,
nyc_urban,way/241862545,OpenUBEMUnknown,2.0,48.73311679289818,97.46623358579636,True,,False,no_baseline,
nyc_urban,way/241862546,SmallOffice,3.0,58.30034510957845,174.90103532873536,True,2.0,True,taller,
nyc_urban,way/241862549,SmallOffice,3.0,73.72695742387828,221.18087227163483,True,2.0,True,taller,
nyc_urban,way/241862552,SmallOffice,3.0,87.18850227551533,261.56550682654597,True,2.0,True,taller,
nyc_urban,way/241862555,SmallOffice,3.0,76.03625846577353,228.10877539732058,True,2.0,True,taller,
nyc_urban,way/241862557,OpenUBEMUnknown,1.0,44.653092385314174,44.653092385314174,True,,False,no_baseline,
