building_id,n_surfaces_checked,n_defective_surfaces,first_defect_kind,first_defect_angle_deg,first_defect_edge_m,defect_on_footprint_ring,has_interzone_partner
way/289387275,8,0,,,,,
way/289387276,11,2,collinear,179.919869,8.50695157,Y,N
way/289387277,50,0,,,,,
way/289387278,60,0,,,,,
way/289387279,42,0,,,,,
way/289387281,33,0,,,,,
relation/4164961,75,6,collinear,179.973897,3.6398695,Y,N
relation/4164962,159,62,collinear,179.936232,1.42521928,Y,N
relation/4164982,16,0,,,,,
relation/4164983,75,6,collinear,179.976779,9.25654801,Y,N
relation/4165178,311,108,proximity,,0.005,N,N
relation/4165179,86,4,collinear,179.982907,0.48981833,Y,N
relation/4165180,27,6,collinear,179.998675,7.0312213,Y,N
relation/4165182,470,65,proximity,,0.001,N,N
way/289979828,44,0,,,,,
way/289979829,50,0,,,,,
way/290026247,7,0,,,,,
way/290026248,14,2,collinear,179.900526,3.23854906,Y,N
way/290026249,9,0,,,,,
way/290026253,82,2,collinear,179.977661,1.88883165,Y,N
way/290026255,11,0,,,,,
way/290026256,40,0,,,,,
way/291155594,134,0,,,,,
way/291155595,36,0,,,,,
way/291155596,60,0,,,,,
way/291278667,28,0,,,,,
way/291278668,28,0,,,,,
way/291278669,9,0,,,,,
way/291278670,12,2,collinear,179.986633,6.86235892,Y,N
way/291278671,11,2,collinear,179.987247,4.96953489,Y,N
way/291278672,49,0,,,,,
way/291278674,33,0,,,,,
way/291278675,50,0,,,,,
way/291892249,32,0,,,,,
way/291892250,24,0,,,,,
way/291892251,31,2,collinear,179.989668,3.84217465,Y,N
way/291892252,60,0,,,,,
way/291892387,63,0,,,,,
way/292149912,51,0,,,,,
way/292149913,31,0,,,,,
way/292149914,24,0,,,,,
way/292149915,33,0,,,,,
way/292149916,40,13,proximity,,0.005,N,N
way/292149919,10,2,collinear,179.986077,6.30668732,Y,N
way/293591506,69,0,,,,,
way/293591511,70,0,,,,,
way/310771769,77,0,,,,,
way/310771771,36,0,,,,,
way/310771773,91,0,,,,,
way/310771776,15,0,,,,,
way/310771778,90,0,,,,,
way/310771781,98,0,,,,,
way/310771784,45,0,,,,,
way/310771790,95,0,,,,,
way/310738152,90,0,,,,,
way/310738153,90,0,,,,,
way/310738154,102,12,collinear,179.991038,8.2786052,Y,N
way/310738155,102,0,,,,,
way/310738157,30,0,,,,,
way/310738158,36,0,,,,,
way/310738159,24,0,,,,,
way/310738160,28,0,,,,,
relation/12700585,386,92,proximity,,0.001,N,N
relation/12700645,773,248,collinear,179.993315,1.63906223,Y,N
relation/12702624,52,8,collinear,179.972802,3.44736436,Y,N
relation/12702626,88,8,collinear,179.900488,4.80354546,Y,N
relation/12702627,256,64,proximity,,0.001,N,Y
relation/12702628,396,93,proximity,,0.005,N,N
relation/12702629,144,0,,,,,
relation/12702630,176,32,collinear,179.918651,7.15742028,Y,N
way/311161164,24,0,,,,,
