building_id,district,stem,geometry_outcome,has_whole_zone,census_k,census_drawn_per_floor,census_status,census_spread,census_verdict,storeys,area_m2,recoverable
relation/12877780,ES-MAD-BERRUGUETE,e21bec78b937acf5,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.9998,PASS,4,115,N
relation/12882209,ES-MAD-BERRUGUETE,5c52d86539f5f682,FALLBACK_PENDING_LAYOUT,Y,10,10,direct,0.4149,FAIL,3,494,Y
relation/6382787,ES-MAD-BERRUGUETE,b7df1a6e31a34f7e,DWELLING_LAYOUT_EMITTED,N,5,5,direct,0.6565,PASS,7,488,N
way/100704656,ES-MAD-BERRUGUETE,efd148a964fbbb14,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,3,3,direct,0.5,PASS,4,313,Y
way/100704671,ES-MAD-BERRUGUETE,6bc45b6bf741ba48,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,12,,GENERIC_NO_CENSUS,,GENERIC,6,2166,N
way/100704677,ES-MAD-BERRUGUETE,201c251d49383633,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,2,2,direct,0.9952,PASS,7,222,Y
way/100704682,ES-MAD-BERRUGUETE,39308272b9e3a38a,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,3,3,direct,0.5,PASS,3,688,Y
way/100704705,ES-MAD-BERRUGUETE,b9741f5cc0683abe,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,12,12,direct,0.9998,PASS,4,1450,Y
way/100704712,ES-MAD-BERRUGUETE,6fab855758d059d5,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,4,81,N
way/100704723,ES-MAD-BERRUGUETE,d5198afcfca50db7,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,8,8,direct,0.9999,PASS,4,307,Y
relation/4169236,ES-MAD-BERRUGUETE,5ebd49cba0ddc651,FALLBACK_PENDING_LAYOUT,Y,1,1,direct,1.0,FAIL,4,444,N
relation/4172529,ES-MAD-BERRUGUETE,aeea716b34cd07de,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.5,PASS,5,377,N
relation/4172530,ES-MAD-BERRUGUETE,e637e4c600733857,FALLBACK_PENDING_LAYOUT,Y,8,8,direct,0.6466,FAIL,6,381,Y
relation/4172733,ES-MAD-BERRUGUETE,b4477181a4ba04d4,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,1,1,direct,1.0,PASS,6,231,N
relation/4172891,ES-MAD-BERRUGUETE,afeafb76cd8a7d50,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.5001,PASS,3,294,N
relation/4172892,ES-MAD-BERRUGUETE,4c83d5317d600cf4,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.4782,PASS,5,318,N
relation/4179135,ES-MAD-BERRUGUETE,10875c0a365889df,FALLBACK_PENDING_LAYOUT,Y,10,10,direct,0.2617,FAIL,2,630,Y
relation/4466638,ES-MAD-BERRUGUETE,fc1c83df2d9b8786,FALLBACK_PENDING_LAYOUT,Y,10,10,direct,0.4999,FAIL,3,575,Y
relation/12582232,ES-MAD-BERRUGUETE,c0469f277749f93e,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.9999,PASS,4,272,N
relation/12582233,ES-MAD-BERRUGUETE,c6e90803c98dba87,DWELLING_LAYOUT_EMITTED,N,2,2,direct,1.0,PASS,7,206,N
relation/12582234,ES-MAD-BERRUGUETE,a776387b1281ccea,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.4777,PASS,5,339,N
relation/12586384,ES-MAD-BERRUGUETE,f37e1223ce23033c,FALLBACK_PENDING_LAYOUT,Y,1,1,direct,1.0,FAIL,7,315,N
relation/12628571,ES-MAD-BERRUGUETE,185b31a856fe0fac,DWELLING_LAYOUT_EMITTED,N,6,6,direct,0.6112,PASS,6,298,N
relation/12628572,ES-MAD-BERRUGUETE,34c7b090ab436a53,FALLBACK_PENDING_LAYOUT,Y,12,,GENERIC_NO_CENSUS,,GENERIC,3,911,N
relation/12638102,ES-MAD-BERRUGUETE,c618dfeb21e06f07,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,5,293,N
relation/12638103,ES-MAD-BERRUGUETE,81c43893177d0d80,DWELLING_LAYOUT_EMITTED,N,5,5,direct,0.4111,PASS,5,392,N
way/198082054,ES-MAD-BERRUGUETE,5fce37847390b084,DWELLING_LAYOUT_EMITTED,N,5,5,direct,0.6667,PASS,7,484,N
way/198082056,ES-MAD-BERRUGUETE,a97cd41865846e63,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,4,4,direct,0.9412,PASS,2,283,Y
way/224012143,ES-MAD-BERRUGUETE,5708eec5fe4779cf,DWELLING_LAYOUT_EMITTED,N,3,,GENERIC_NO_CENSUS,,GENERIC,5,244,N
way/232618736,ES-MAD-BERRUGUETE,510c763b0749cf08,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,3,3,direct,0.9694,PASS,7,331,Y
way/277649994,ES-MAD-BERRUGUETE,f532ab6887714d86,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,5,5,direct,0.9997,PASS,4,189,Y
way/277649996,ES-MAD-BERRUGUETE,121ede6ffa7f537f,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.9998,PASS,4,186,N
way/286376565,ES-MAD-BERRUGUETE,51768f7077a8ad28,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,1,1,direct,1.0,PASS,3,70,N
way/286376566,ES-MAD-BERRUGUETE,b88b3c3325df733e,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.5,PASS,3,95,N
relation/4495683,ES-MAD-BERRUGUETE,a271e26c4c71efa4,DWELLING_LAYOUT_EMITTED,N,5,,GENERIC_NO_CENSUS,,GENERIC,3,357,N
relation/4495684,ES-MAD-BERRUGUETE,97ab5017e7b651ba,FALLBACK_PENDING_LAYOUT,Y,1,1,direct,1.0,FAIL,5,296,N
relation/4495685,ES-MAD-BERRUGUETE,6ffe4aadf739b0cb,FALLBACK_PENDING_LAYOUT,Y,6,,GENERIC_NO_CENSUS,,GENERIC,3,439,N
relation/4678507,ES-MAD-BERRUGUETE,aa850c6110d831d0,FALLBACK_PENDING_LAYOUT,Y,8,8,direct,0.6513,PASS,7,546,Y
relation/4678509,ES-MAD-BERRUGUETE,1e49dd7b4363f3e2,FALLBACK_PENDING_LAYOUT,Y,3,3,direct,0.9957,FAIL,7,443,Y
relation/4835799,ES-MAD-BERRUGUETE,a9c1a1223ff8e03d,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.5005,PASS,5,283,N
relation/4835800,ES-MAD-BERRUGUETE,f5889883a4df9891,DWELLING_LAYOUT_EMITTED,N,2,2,direct,1.0,PASS,2,162,N
