Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/15  22:00:00,50308118.928650014,50308118.928650014 
 01/15  23:00:00,50308118.928650014,50308118.928650014 
 01/15  24:00:00,50308118.928650014,50308118.928650014 
 01/16  01:00:00,47850830.928650014,47850830.928650014 
 01/16  02:00:00,47850830.928650014,47850830.928650014 
 01/16  03:00:00,47850830.928650014,47850830.928650014 
 01/16  04:00:00,50481796.30700486,50481796.30700486 
 01/16  05:00:00,52966437.517896354,52966437.51789635 
 01/16  06:00:00,54978551.34210289,54978551.342102885 
 01/16  07:00:00,72877478.90562001,72877478.90562 
 01/16  08:00:00,64979208.74138039,64979208.741380386 
 01/16  09:00:00,56991161.05927163,56485153.35198582 
 01/16  10:00:00,61321139.02543252,56324182.053280056 
 01/16  11:00:00,57898123.15920563,46341394.56177172 
 01/16  12:00:00,60165291.502182305,41875199.70871341 
 01/16  13:00:00,57988994.98541133,36630732.217190914 
 01/16  14:00:00,63521967.03275369,44117211.30301943 
 01/16  15:00:00,62784399.83985038,48072519.6414209 
 01/16  16:00:00,69104101.76129363,59863927.66404725 
 01/16  17:00:00,69805125.32502614,65855810.042840146 
 01/16  18:00:00,96202233.26358788,96202233.26358788 
 01/16  19:00:00,86798294.94595152,86798294.94595152 
 01/16  20:00:00,88806395.95199606,88806395.95199606 
 01/16  21:00:00,82071996.1145099,82071996.11450988 
 01/16  22:00:00,94909091.69135046,94909091.69135045 
 01/16  23:00:00,84564877.37374215,84564877.37374215 
 01/16  24:00:00,94382394.7887405,94382394.7887405 
 01/17  01:00:00,95068169.41369325,95068169.41369325 
 01/17  02:00:00,106878561.2525946,106878561.25259459 
 01/17  03:00:00,93024130.7683904,93024130.76839039 
 01/17  04:00:00,83583074.17890783,83583074.17890781 
 01/17  05:00:00,80146744.53923544,80146744.53923543 
 01/17  06:00:00,282218311.12848806,282218311.12848806 
 01/17  07:00:00,592339535.9418887,592339535.9418886 
 01/17  08:00:00,668480802.0047456,668349917.7152709 
 01/17  09:00:00,580185996.3989823,576954889.8181595 
 01/17  10:00:00,492110321.95753205,480123664.88509166 
 01/17  11:00:00,429130581.80604607,407415510.4045415 
 01/17  12:00:00,391410434.5585387,364620032.0362896 
 01/17  13:00:00,417550356.77952105,393359995.42379546 
 01/17  14:00:00,367998159.2691085,348691169.65363157 
 01/17  15:00:00,342270264.519425,325865691.1913753 
 01/17  16:00:00,332266652.5634243,319885479.79065466 
 01/17  17:00:00,329615074.944943,324099515.93997383 
 01/17  18:00:00,377258903.35046375,377258903.3504638 
 01/17  19:00:00,375982167.74518806,375982167.745188 
 01/17  20:00:00,368980313.15733206,368980313.15733206 
 01/17  21:00:00,374238073.098569,374238073.098569 
 01/17  22:00:00,380294558.63564366,380294558.6356436 
 01/17  23:00:00,76638389.2223021,76638389.2223021 
 01/17  24:00:00,72378950.7428459,72378950.7428459 
 01/18  01:00:00,74196374.88914731,74196374.88914731 
 01/18  02:00:00,81815588.62869701,81815588.62869701 
 01/18  03:00:00,84663014.91390379,84663014.91390377 
 01/18  04:00:00,87709554.90256906,87709554.90256904 
 01/18  05:00:00,93074718.09579548,93074718.09579545 
 01/18  06:00:00,249466656.07326847,249466656.07326844 
 01/18  07:00:00,510456119.8134543,510456119.8134543 
 01/18  08:00:00,590594738.9833115,590478945.3141562 
 01/18  09:00:00,517693778.55911535,513852391.96059245 
 01/18  10:00:00,438444447.649042,422754566.2609093 
 01/18  11:00:00,383796176.1363094,356502785.239745 
 01/18  12:00:00,351411371.0689624,315077491.4509487 
 01/18  13:00:00,374634875.0813974,333007893.0965298 
 01/18  14:00:00,318616413.45334125,279636330.41689605 
 01/18  15:00:00,291043615.78383934,261223204.04467595 
 01/18  16:00:00,286487450.3502997,268113494.38401735 
 01/18  17:00:00,290485097.4929797,283673390.0074785 
 01/18  18:00:00,341081924.8358195,341081924.83581936 
 01/18  19:00:00,339442434.34093916,339442434.34093916 
 01/18  20:00:00,328814333.7176565,328814333.71765643 
 01/18  21:00:00,332294133.7028478,332294133.7028478 
 01/18  22:00:00,338561058.46718025,338561058.46718013 
 01/18  23:00:00,76638389.2223021,76638389.2223021 
 01/18  24:00:00,72378950.7428459,72378950.7428459 
 01/19  01:00:00,65658051.44788303,65658051.44788303 
 01/19  02:00:00,67706234.85160594,67706234.85160594 
 01/19  03:00:00,76821174.21826385,76821174.21826383 
 01/19  04:00:00,75879114.2530665,75879114.25306648 
 01/19  05:00:00,83200882.0506567,83200882.05065668 
 01/19  06:00:00,210929622.68765935,210929622.68765938 
 01/19  07:00:00,471306242.82936525,471306242.82936513 
 01/19  08:00:00,553656501.4550557,553475038.1208024 
 01/19  09:00:00,486340504.5688544,482084386.987345 
 01/19  10:00:00,409909994.84613353,394101293.3631847 
 01/19  11:00:00,356436488.86845237,328155309.6710607 
 01/19  12:00:00,326989067.6025476,288839634.7698634 
 01/19  13:00:00,345848813.52067304,305337156.7139105 
 01/19  14:00:00,299161599.4038931,264920503.94183978 
 01/19  15:00:00,283332442.1462019,259474880.43892547 
 01/19  16:00:00,285886166.0447072,271445957.99036014 
 01/19  17:00:00,289790913.1114285,283304505.1845684 
 01/19  18:00:00,324695296.2169306,324695296.21693057 
 01/19  19:00:00,317906836.8602197,317906836.8602197 
 01/19  20:00:00,304856925.2634861,304856925.2634861 
 01/19  21:00:00,307529933.6784999,307529933.6784999 
 01/19  22:00:00,307884460.86621064,307884460.86621064 
 01/19  23:00:00,76638389.2223021,76638389.2223021 
 01/19  24:00:00,72378950.7428459,72378950.7428459 
 01/20  01:00:00,59101491.97393255,59101491.97393255 
 01/20  02:00:00,59101491.97393255,59101491.97393255 
 01/20  03:00:00,59101491.97393255,59101491.97393255 
 01/20  04:00:00,65315134.98784417,65315134.98784417 
 01/20  05:00:00,70300217.59027512,70300217.59027511 
 01/20  06:00:00,164698124.75998226,164698124.75998226 
 01/20  07:00:00,393627201.1957935,393627201.1957935 
 01/20  08:00:00,490177172.0908143,490029007.27905226 
 01/20  09:00:00,433550572.407822,430708745.02181435 
 01/20  10:00:00,378386103.2310529,368853147.07172 
 01/20  11:00:00,341701736.07340336,323851855.07979953 
 01/20  12:00:00,318780678.8222679,294903651.47811913 
 01/20  13:00:00,336349592.694391,310461316.40468055 
 01/20  14:00:00,292174324.7691352,265227923.5592351 
 01/20  15:00:00,265346699.5546487,240672076.8338607 
 01/20  16:00:00,262936091.67733663,246004650.92581683 
 01/20  17:00:00,265145918.79885212,257622401.36336023 
 01/20  18:00:00,294035151.3900965,294035151.3900965 
 01/20  19:00:00,283193547.8275168,283193547.8275168 
 01/20  20:00:00,269756157.25862324,269756157.25862324 
 01/20  21:00:00,269131432.9701208,269131432.97012067 
 01/20  22:00:00,277239389.9292814,277239389.92928135 
 01/20  23:00:00,76638389.2223021,76638389.2223021 
 01/20  24:00:00,72378950.7428459,72378950.7428459 
 01/21  01:00:00,47850830.928650014,47850830.928650014 
 01/21  02:00:00,47850830.928650014,47850830.928650014 
 01/21  03:00:00,47850830.928650014,47850830.928650014 
 01/21  04:00:00,47850830.928650014,47850830.928650014 
 01/21  05:00:00,47850830.928650014,47850830.928650014 
 01/21  06:00:00,142140288.05310547,142140288.05310547 
 01/21  07:00:00,371534312.5356348,371534312.5356349 
 01/21  08:00:00,445364494.75341237,445225851.2205241 
 01/21  09:00:00,353467132.62040216,349995633.88903147 
 01/21  10:00:00,307561837.35475445,294043643.0429588 
 01/21  11:00:00,264466398.02271473,239960256.8806722 
 01/21  12:00:00,242524834.43870342,211106012.0222091 
 01/21  13:00:00,216176186.4071386,183828934.67081368 
 01/21  14:00:00,208420292.91127464,179667225.48800877 
