building_id,building_type,year_built,native_layout_status,native_layout_reason,centroid_translated_layout_status,centroid_translated_layout_reason,status_changed_under_translation,exterior_vertex_count,exceeds_energyplus_idd_vertex_budget_approx_120,geometry_simplified_for_energyplus,geometry_original_vertex_count,geometry_simplified_vertex_count,geometry_simplification_delta_area_m2,geometry_simplification_hausdorff_m
BATIMENT0000000240880053_part0,MFH,1760.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,8,False,False,8,8,0.0,0.0
BATIMENT0000000240880055_part0,MFH,1760.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,8,False,False,8,8,0.0,0.0
BATIMENT0000000240880071_part0,SFH,1840.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,4,False,False,4,4,0.0,0.0
BATIMENT0000000240880079_part0,TH,1985.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,4,False,False,4,4,0.0,0.0
BATIMENT0000000240880082_part0,TH,1900.0,DWELLING_LAYOUT_EMITTED,,DWELLING_LAYOUT_EMITTED,,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240880083_part0,TH,1920.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,6,False,False,6,6,0.0,0.0
BATIMENT0000000240880094_part0,TH,1950.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,11,False,False,11,11,0.0,0.0
BATIMENT0000000240880095_part0,MFH,1800.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,43,False,False,43,43,0.0,0.0
BATIMENT0000000240880096_part0,MFH,1820.0,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,FALLBACK_PENDING_LAYOUT,NON_CONVEX_TOPOLOGY_UNSUPPORTED,False,14,False,False,14,14,0.0,0.0
BATIMENT0000000240880097_part0,MFH,1870.0,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,FALLBACK_PENDING_LAYOUT,NARROW_FOOTPRINT_LT_8M,False,10,False,False,10,10,0.0,0.0
