building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct
way/484767417,residential,house,56.1,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/484767418,residential,house,61.8,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/484767419,residential,house,60.6,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/484767420,residential,house,57.9,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/502746345,residential,house,28.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/513371053,residential,apartments,382.3,5.0,15.0,storeys x 3.0 m,,no_idf,,,,,
way/531931774,residential,apartments,422.7,7.0,21.0,storeys x 3.0 m,,no_idf,,,,,
way/531931777,residential,apartments,397.1,5.0,15.0,storeys x 3.0 m,,no_idf,,,,,
way/531931779,residential,apartments,354.0,9.0,27.0,storeys x 3.0 m,,no_idf,,,,,
way/531931788,residential,house,64.9,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/531931790,residential,apartments,213.7,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,
way/554859553,residential,apartments,156.7,6.0,18.0,storeys x 3.0 m,,ruled,6,17,882.8,629.7,28.7
way/554859554,residential,apartments,308.9,7.0,21.0,storeys x 3.0 m,,massing_box,7,0,2162.1,2162.1,0.0
way/554859555,residential,apartments,210.7,7.0,21.0,storeys x 3.0 m,,massing_box,7,0,1475.0,1475.0,0.0
way/554859556,residential,apartments,309.7,10.0,30.0,storeys x 3.0 m,,massing_box,10,0,3092.5,3092.5,0.0
way/554859557,residential,house,66.0,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/554859558,residential,house,47.4,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/554859559,residential,residential,63.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/554859560,residential,house,48.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/554859561,residential,apartments,157.0,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,471.2,471.2,0.0
way/554859562,residential,apartments,180.3,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/554859563,residential,house,43.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/554859564,residential,house,52.4,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/554859565,residential,house,48.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/554859566,residential,house,72.0,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/601403968,residential,house,44.1,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/635993716,residential,house,67.6,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993719,residential,house,32.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993722,residential,house,35.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993725,residential,house,34.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993728,residential,house,33.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993731,residential,house,33.3,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993735,residential,house,35.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993738,residential,house,36.4,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993741,residential,house,32.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993744,residential,house,34.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993747,residential,house,36.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993750,residential,house,34.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993753,residential,house,36.1,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/635993756,residential,house,35.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/656952074,residential,apartments,241.5,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/656952076,residential,apartments,106.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/656952077,residential,apartments,199.4,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/656952078,residential,apartments,237.1,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,711.3,711.3,0.0
way/694412122,residential,house,50.3,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/701972624,residential,house,96.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/701972625,residential,house,50.5,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/701972626,residential,apartments,70.9,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,212.6,212.6,0.0
way/815865552,residential,house,69.9,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/815865553,residential,house,62.6,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/815865554,residential,house,67.8,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/815865555,residential,house,37.0,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/815865556,residential,house,36.1,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/815865557,residential,house,43.0,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/815865558,residential,house,49.5,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/820000871,residential,residential,52.0,,9.0,assumed 9.0 m,,no_idf,,,,,
way/823489429,residential,house,77.1,,9.0,assumed 9.0 m,,no_idf,,,,,
way/823489430,residential,house,24.6,,9.0,assumed 9.0 m,,no_idf,,,,,
way/823489431,residential,apartments,137.8,,9.0,assumed 9.0 m,,no_idf,,,,,
way/823489432,residential,house,28.6,,9.0,assumed 9.0 m,,no_idf,,,,,
way/823489433,residential,house,88.2,,9.0,assumed 9.0 m,,no_idf,,,,,
way/823489434,residential,house,27.6,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/823489435,residential,house,61.6,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/823489443,residential,apartments,623.1,9.0,27.0,storeys x 3.0 m,,no_idf,,,,,
way/823489444,residential,apartments,768.3,13.0,39.0,storeys x 3.0 m,,no_idf,,,,,
way/823489445,residential,apartments,551.1,5.0,15.0,storeys x 3.0 m,,no_idf,,,,,
way/823489446,residential,house,63.9,,9.0,assumed 9.0 m,,no_idf,,,,,
way/823489447,residential,house,64.5,,9.0,assumed 9.0 m,,no_idf,,,,,
way/823489448,residential,house,72.7,,9.0,assumed 9.0 m,,no_idf,,,,,
way/892347461,residential,house,33.3,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/892347462,residential,house,31.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/892347463,residential,house,31.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/892347464,residential,house,31.3,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/892347465,residential,house,32.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
