district,group,count,share,median_area_m2,median_perimeter_m,median_n_vertices_raw,median_n_vertices_denoised,median_n_interior_rings,median_interior_ring_area_m2,median_hull_deficit_fraction,median_rectangularity,median_min_rot_rect_w_m,median_min_rot_rect_l_m,median_aspect_ratio,median_reflex_count,median_longest_edge_m,median_n_edges_ge_15pct_perimeter,median_circularity,median_storeys,median_dwellings_total
IT-BOL-GALVANI2,SLAB,10,0.008305647840531562,339.18998699458507,95.13094452865539,7.5,4.0,0.0,0.0,0.0,0.9481104596944564,9.905380336586607,39.398486130664296,4.196102367495019,0.0,31.927239912688442,2.0,0.4842184460757836,4.0,5.0
ES-MAD-BERRUGUETE,TRIANGLE,34,0.03537981269510926,226.51214497875554,64.59025314762161,8.0,5.0,0.0,0.0,0.0,0.8230958435102254,12.033769958983594,23.079009181032774,1.8310207463862311,0.0,19.178807841148554,3.0,0.6780236789602527,4.0,8.0
FLEET,TRIANGLE,54,0.02122641509433962,215.8734019994115,64.03284968264569,8.0,5.0,0.0,0.0,1.2320533447888533e-16,0.8230958435102254,11.628681022586996,22.69464093402305,1.8241209141763335,0.0,19.10634844350816,3.0,0.6743174021603757,4.0,11.0
FR-LYO-HAUTCOEURPENTES,TRIANGLE,7,0.02356902356902357,207.83038764381934,61.448352726159605,7.0,6.0,0.0,0.0,0.015083101394332452,0.8049791275026933,13.235790016033837,19.61032690543268,1.4834169565630495,0.0,20.096315006387165,3.0,0.6916691754460448,6.0,29.0
GB-LDN-STDUNSTANS,TRIANGLE,2,0.024390243902439025,187.43559029375575,66.56101382067922,5.0,4.5,0.0,0.0,9.37288450109256e-17,0.7642863584565334,9.22203964259527,26.657652748081077,2.9555688358812766,0.0,23.39867803606516,2.5,0.5307786414605667,4.0,17.0
IT-BOL-GALVANI2,TRIANGLE,11,0.009136212624584718,181.04419998929995,60.730185460300376,9.0,6.0,0.0,0.0,0.017168885402353708,0.8454901281286924,10.490165567756543,20.875915766409953,1.9634813533452953,0.0,18.01377251009722,3.0,0.6559378627315846,5.0,16.0
ES-MAD-BERRUGUETE,TRAPEZOID,74,0.07700312174817898,156.1754907145659,51.35242725524748,6.0,4.0,0.0,0.0,0.0,0.8647922407287909,11.88860161994565,16.524644826511153,1.366776310621289,0.0,13.63796790113621,4.0,0.7551140209455801,4.0,8.0
FLEET,TRAPEZOID,87,0.03419811320754717,156.53178171388728,51.5832652834717,7.0,4.0,0.0,0.0,0.0,0.8631665004616689,11.882700722489854,16.44588147986774,1.3854260707337305,0.0,13.623483610993887,4.0,0.7514888286562262,4.0,8.0
FR-LYO-HAUTCOEURPENTES,TRAPEZOID,7,0.02356902356902357,134.87599312639435,47.90208646159167,7.0,4.0,0.0,0.0,0.0,0.8771370096441051,10.777810662569586,14.68130354140061,1.3854260707337305,0.0,11.58063087532295,4.0,0.7387811258497616,4.0,4.0
GB-LDN-STDUNSTANS,TRAPEZOID,1,0.012195121951219513,203.76132727871905,58.37199653368979,6.0,6.0,0.0,0.0,-1.394852978726763e-16,0.7507973994802367,11.02263375526939,24.621449885906085,2.2337174973391236,0.0,17.503685703617062,4.0,0.7514888286562262,3.0,17.0
