Date/Time,BATIMENT0000000240879409_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240879409_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 02/07  09:00:00,32146798.248727284,31709636.799528398,32206707.797383957,35366972.50226538,66898049.12136376 
 02/07  10:00:00,31800196.753670104,31311658.260406762,31730219.91110783,34734892.43360236,68340497.51247583 
 02/07  11:00:00,29438191.651546188,28792258.478601277,28719700.74802053,29898410.899471983,62215939.37409405 
 02/07  12:00:00,26016373.600260433,24736580.1003514,23264829.90278529,24201323.945038993,55020220.249139756 
 02/07  13:00:00,22849064.198065504,20359204.473300237,18245320.94643344,19211602.018135432,49043193.04974737 
 02/07  14:00:00,20609501.425364736,17939252.937127985,15676306.680257615,16204515.746090649,43205643.9069658 
 02/07  15:00:00,19092162.80703048,16940510.232749194,14843538.744592072,14997983.913634825,38683143.17447872 
 02/07  16:00:00,18087783.856918193,16648816.08782267,15149406.366730178,15047674.944294648,36029938.97147496 
 02/07  17:00:00,17767705.080639705,16495639.9516403,16086857.944887863,16874927.94798399,36552458.43128612 
 02/07  18:00:00,19079887.157274004,17856265.18640269,17629486.216556635,19562583.934654966,43273445.44696122 
 02/07  19:00:00,22525379.39131276,21461775.11128887,21456719.060027264,23797866.953846812,50526383.41913233 
 02/07  20:00:00,25153945.778769165,24200238.11322478,24291176.031627722,26831760.330395333,55238833.733683825 
 02/07  21:00:00,27040294.34628541,26181479.04996235,26355203.462872446,29062144.435653493,58748351.350385934 
 02/07  22:00:00,28718401.401490927,27951998.975075826,28202125.58729063,31067835.83670787,62051229.83199123 
 02/07  23:00:00,30514689.677770793,29840629.86404994,30158882.05044158,33176403.336702775,65513336.292672716 
 02/07  24:00:00,32401925.496918667,31821736.423021954,32205688.007788282,35382880.22154545,69304248.25393127 
 02/08  01:00:00,34078256.54155894,33585603.0327548,34028446.00046531,37352507.89752005,72731584.6133742 
 02/08  02:00:00,35117225.68196433,34693324.35807475,35186746.40272963,38634001.99754593,75163546.02270508 
 02/08  03:00:00,35728277.098468825,35354191.94122428,35890443.8950823,39444950.36045055,76896128.72779843 
 02/08  04:00:00,37001723.259251535,36689955.74049576,37265075.79894343,40931588.02227989,79544591.15772122 
 02/08  05:00:00,38564835.56107168,38319600.17215462,38931414.27307081,42716570.35021827,82710413.92892167 
 02/08  06:00:00,39601893.50946638,39402983.84857091,40043709.848842025,43931568.0999409,85095282.21989794 
 02/08  07:00:00,40089635.160617955,39924571.143924706,40586448.53772614,44546852.72168157,86407794.3962754 
 02/08  08:00:00,40941658.65702912,40820802.64843102,41503592.6822219,45533700.210072696,88120933.50297545 
 02/08  09:00:00,41633450.30956878,41535366.10351681,42206426.25658138,46263147.167554826,89483246.37912199 
 02/08  10:00:00,39075330.9023141,38835102.38795005,39321784.35096489,42814119.00374626,83949214.69941016 
 02/08  11:00:00,34010102.726523094,33543079.851584427,33369188.863171533,34323704.53856996,71353563.68949147 
 02/08  12:00:00,29567322.228890043,28408155.719181404,26641133.57289973,27493976.43046424,61384112.83759503 
 02/08  13:00:00,26373643.39261176,24178856.85847701,22188779.75428525,23480782.248637117,55510265.43824729 
 02/08  14:00:00,23755083.002315532,21360599.131834477,19183943.168101266,20003558.80125965,49017771.504922144 
 02/08  15:00:00,21708205.533373334,19770532.567669995,17735720.491222296,18080493.351880513,43615825.75519698 
 02/08  16:00:00,20611965.313026987,19356560.640128095,17881880.177375443,17921775.23663585,41011835.0631715 
 02/08  17:00:00,20259918.302500702,19128469.075839456,18767251.693672623,19692246.778590675,41980442.29503637 
 02/08  18:00:00,21151916.51922236,20068099.266622167,19893969.08420566,22027229.2063455,48076809.98205228 
 02/08  19:00:00,23166222.534327842,22226620.113818426,22266231.863749065,24711793.54875319,52177354.008752525 
 02/08  20:00:00,26485050.30351425,25655822.5903479,25791186.77965177,28452888.698573574,57986572.87403756 
 02/08  21:00:00,30048294.509220146,29344472.687966343,29580159.823669612,32501230.094721757,64876211.12053524 
 02/08  22:00:00,32855045.73612614,32259951.292863764,32582162.94111408,35729484.42092401,70485290.9942787 
 02/08  23:00:00,35031699.417829975,34533010.83720446,34930531.81804921,38273001.15293994,74991668.7991294 
 02/08  24:00:00,36502564.63673826,36093088.60653653,36549591.177469164,40025167.639478184,77850158.97277765 
 02/09  01:00:00,37861154.54161938,37534032.12263565,38043998.30451863,41647174.19932748,80607885.26863544 
 02/09  02:00:00,38959818.23941912,38701617.11386556,39257521.19567348,42973369.92501384,82941842.61149704 
 02/09  03:00:00,39790702.591496244,39593885.18974501,40188287.07052337,43994427.66145273,84718502.12188298 
 02/09  04:00:00,40406841.89403677,40260332.037733175,40887195.266831055,44769941.103392705,86117386.66536188 
 02/09  05:00:00,40964939.31053004,40865474.103998944,41520151.22659628,45467515.127610296,87336056.44200948 
 02/09  06:00:00,41565031.26410226,41503253.21848725,42181693.53009873,46196116.67143835,88719081.62481467 
 02/09  07:00:00,42043774.910275474,42005836.920240715,42702509.28685954,46782686.4155763,90017484.21262598 
 02/09  08:00:00,41976073.67115562,41948686.59334529,42657227.86000557,46781965.99565992,90367308.73109055 
 02/09  09:00:00,41937759.96719906,41907324.91116351,42596842.748718746,46712747.49363951,90375343.60691136 
 02/09  10:00:00,39341702.866105184,39160854.41604198,39656639.04041655,43235591.17276839,84313751.75381733 
 02/09  11:00:00,34172256.943985686,33743428.843683325,33698445.60046658,35195478.09748173,71926192.89598243 
 02/09  12:00:00,29457602.862987164,28413013.240553446,27187334.612705596,28645007.789937675,61360198.60538379 
 02/09  13:00:00,25450378.087940928,23453491.135141175,21815785.592173323,23273725.862184625,52961617.607790954 
 02/09  14:00:00,22248515.38327655,20116512.591485996,18394034.259409554,19524618.591430265,47176363.73883984 
 02/09  15:00:00,20278971.591191188,18409845.637632765,16792264.571321517,17552693.32129403,43645249.34045624 
 02/09  16:00:00,19254597.085553247,17881797.799197763,16567214.990834579,16925684.332454506,41184087.721896276 
 02/09  17:00:00,19054495.987399302,17845871.78494403,17572330.304051396,18790878.968292207,42037147.67268029 
 02/09  18:00:00,20696226.54055678,19581034.663330436,19499972.7057394,21796500.657911636,48491585.11969572 
 02/09  19:00:00,21927368.881839577,20946811.08625657,21063954.20149927,23654266.915752817,51655873.85788731 
 02/09  20:00:00,23495992.457711212,22578489.183846734,22781053.096796967,25537135.704134323,54834668.34677897 
 02/09  21:00:00,25953027.79514075,25121858.06990442,25404587.436834086,28350361.049535334,59536184.71867897 
 02/09  22:00:00,28535537.595402755,27793882.106841512,28142407.05847084,31254403.140507102,64127700.87386536 
 02/09  23:00:00,32249519.80160046,31623988.340389334,32040247.115000654,35367881.36219496,70868420.90808117 
 02/09  24:00:00,34654458.714909226,34125537.01464098,34582017.30814839,38006690.680106096,74322263.25172673 
 02/10  01:00:00,35663558.779013634,35200273.08012614,35679827.82743556,39133844.398822665,75349976.42444767 
 02/10  02:00:00,36782593.68700261,36393719.261200525,36920912.27324802,40497170.890821904,78037583.26317665 
 02/10  03:00:00,37515892.06793513,37200331.40272885,37779131.90009956,41480084.35040206,80357558.9551137 
 02/10  04:00:00,38403731.80213138,38145343.87391357,38752984.00462454,42524387.555910885,82018693.92238507 
 02/10  05:00:00,39022364.25146595,38811062.495250784,39446179.25094272,43293095.471428074,83566335.33990651 
 02/10  06:00:00,39154727.86356452,38978497.132825844,39640252.64018443,43553234.14936816,84397858.15038922 
 02/10  07:00:00,39579365.595648274,39449142.680091836,40130359.89125968,44075291.84935532,85068371.57922652 
 02/10  08:00:00,40031965.88424378,39953270.61666773,40651069.203442715,44614010.75973307,85618645.18685074 
 02/10  09:00:00,40957243.26095088,40912377.39750841,41601713.9496385,45577960.287376955,87195516.740906 
 02/10  10:00:00,38341050.855678536,38188329.39057154,38590775.04023416,41898060.185723856,81278036.06715551 
 02/10  11:00:00,32973231.321612053,32541106.264716286,31184186.924939904,33185066.314322628,68042060.87910861 
 02/10  12:00:00,28066429.402708836,26590242.923662186,24452606.73876502,26883276.430584826,58479027.62572398 
 02/10  13:00:00,23504639.313309286,21717114.749792892,20027455.699745163,22774634.510173533,52144938.88929695 
 02/10  14:00:00,20900848.345275864,18935135.830403827,17337865.617307838,19450394.010730878,46091810.35540309 
 02/10  15:00:00,19772053.905301355,17706553.334604036,16145132.724677887,17472967.04811262,41785429.92790495 
 02/10  16:00:00,19626214.032090053,17598875.94942278,16027493.75151894,16589557.530093042,39148408.381249934 
 02/10  17:00:00,19525671.632418934,18304594.27591911,17387103.329773612,17612099.212853856,39200487.046579316 
 02/10  18:00:00,20954095.465675175,19783364.98462977,19504694.382813636,21484553.620172016,45328730.45838536 
 02/10  19:00:00,26475639.346870538,25533862.624381475,25524721.57859274,28129799.050323978,56892011.980265915 
 02/10  20:00:00,30846158.91091896,30062795.478436805,30158760.83985557,32988891.9836413,64345576.03542268 
 02/10  21:00:00,33220402.482689902,32559364.825102687,32758665.107734427,35798091.60284762,69267790.21952853 
 02/10  22:00:00,34522781.209345125,33958881.87740042,34246876.60788893,37451471.444866836,72409138.64193131 
 02/10  23:00:00,34946327.76781495,34448574.45157766,34804722.551583864,38117254.90147974,73717165.58994436 
 02/10  24:00:00,35555264.49537783,35118390.47749133,35533299.68792275,38946577.81721437,75263480.4866495 
 02/11  01:00:00,36425092.9528992,36046590.21719073,36523403.857453234,40079433.67202976,77844357.33878335 
 02/11  02:00:00,37269337.9389651,36945425.20784711,37475000.739396684,41155758.63726068,80179142.55005847 
 02/11  03:00:00,38057636.28818015,37790680.75854394,38360254.91894808,42122136.28800361,81824529.0134517 
 02/11  04:00:00,38812145.96923691,38592448.517222136,39196427.64119452,43039915.03893931,83529951.06098725 
 02/11  05:00:00,39361367.22061828,39177638.30037932,39809430.035575725,43723588.97278954,84894011.82930516 
 02/11  06:00:00,40068744.25203549,39926904.44398463,40583804.18525752,44561645.38951956,86348131.1565055 
 02/11  07:00:00,40326348.255989864,40219339.26709805,40889887.817054875,44879557.94280525,86448111.1020631 
 02/11  08:00:00,40609691.38676976,40516268.71466303,41168997.1520089,45075241.44024697,85241332.62722895 
 02/11  09:00:00,40925873.80699836,40834175.87722427,41457282.24382982,45317824.07804643,85461550.43496978 
 02/11  10:00:00,38424882.10827751,38180938.99804884,38478574.655434676,41638343.43989421,80453304.2187406 
 02/11  11:00:00,33662073.56736176,33082974.419689316,31527072.54109026,33372056.391889066,68382532.17447875 
 02/11  12:00:00,28571243.221233405,26777303.75058467,24314008.331540104,26558025.4812615,59078494.08370039 
 02/11  13:00:00,23435293.844978575,21165030.89248786,19026485.095015734,21619362.28494835,52879364.42629432 
 02/11  14:00:00,19984237.18167669,17441970.72777556,15334832.72114024,17222010.17154239,45778587.175341114 
 02/11  15:00:00,17991695.5565853,15365071.015932119,13409540.762528375,14307010.550877782,40603484.96683277 
 02/11  16:00:00,17366039.033706058,14885636.734378383,12910779.749364851,13107652.877018038,37255742.07176821 
 02/11  17:00:00,17055991.945452522,15516278.758096237,14367856.35931807,14279334.603241853,36460268.34414446 
 02/11  18:00:00,18226660.84411054,16816612.316274036,16387900.860700192,18268623.889485072,41789896.64572139 
 02/11  19:00:00,20324760.196451485,19110148.924520038,18979316.363026537,21408375.46786665,47878347.67519159 
 02/11  20:00:00,23533845.276938207,22436225.646426063,22423479.75482354,25067909.394331202,53624753.375265226 
 02/11  21:00:00,26861965.239335652,25894047.02378529,25994432.985360727,28870063.992231347,59911591.341505654 
 02/11  22:00:00,29209637.395052627,28348430.34669653,28547610.50831069,31626515.868220493,64720834.91484803 
 02/11  23:00:00,31402210.54063327,30639919.15248923,30916872.61273221,34153442.83722281,68748943.5013164 
