building_id,run_slug,country_stock_code,building_type,layout_mode,zone_count,idf_missing,schedule_file_used,interpolate_no,hours_8760,csv_exists_and_reads,people_assignment_unique,n_eu_schedules,n_eu_gains,n_eu_people
BATIMENT0000000240880100_part0,BATIMENT0000000240880100_part0,FR,AB,FALLBACK_PENDING_LAYOUT,6,False,True,True,True,True,True,6,6,0
BATIMENT0000000240880109_part0,BATIMENT0000000240880109_part0,FR,MFH,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240880110_part0,BATIMENT0000000240880110_part0,FR,MFH,FALLBACK_PENDING_LAYOUT,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240880149_part0,BATIMENT0000000240880149_part0,FR,TH,FALLBACK_PENDING_LAYOUT,3,False,True,True,True,True,True,3,3,0
BATIMENT0000000240880159_part0,BATIMENT0000000240880159_part0,FR,MFH,DWELLING_LAYOUT_EMITTED,1,False,True,True,True,True,True,1,1,0
BATIMENT0000000240880162_part0,BATIMENT0000000240880162_part0,FR,MFH,DWELLING_LAYOUT_EMITTED,4,False,True,True,True,True,True,4,4,0
BATIMENT0000000240880169_part0,BATIMENT0000000240880169_part0,FR,TH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240880170_part0,BATIMENT0000000240880170_part0,FR,TH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240880172_part0,BATIMENT0000000240880172_part0,FR,TH,FALLBACK_PENDING_LAYOUT,3,False,True,True,True,True,True,3,3,0
BATIMENT0000000240880189_part0,BATIMENT0000000240880189_part0,FR,MFH,DWELLING_LAYOUT_EMITTED,1,False,True,True,True,True,True,1,1,0
BATIMENT0000000240880199_part0,BATIMENT0000000240880199_part0,FR,MFH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000240881546_part0,BATIMENT0000000240881546_part0,FR,TH,FALLBACK_PENDING_LAYOUT,2,False,True,True,True,True,True,2,2,0
BATIMENT0000000357175643_part0,BATIMENT0000000357175643_part0,FR,SFH,FALLBACK_PENDING_LAYOUT,3,False,True,True,True,True,True,3,3,0
