building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version,layout_json
way/394093232,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,9526fdb5cf2c5eef400ed1fee581ee11c5536b7a4be3e84867ba96827ed58de5,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,2220.8775,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/394093232.json
way/394093233,GB.ENG.AB.01.ApartmentBuildings.SyAv.001.001,AB,A,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,0fa249c8b5cb61d97054d0e21ef10182d2a44d4cc02b7f7dbd46b65394a5a6b4,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,143.1935,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/394093233.json
way/394093240,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,8a725dd2fd0811ca0f46e8783f0b5fdad26cb9ff78bccbfa3efdda44910757b5,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,135.2241,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/394093240.json
way/394682356,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT,dac31e91225e4d3f6b3c51aa50030e93e3c38e11140f10935c21d6b93a8369ed,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,1002.4232,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/394682356.json
way/394902414,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,H,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,6fec5d75a058b0c5ce3e93104535dcb34000a112b10f63f650eb8f571ef87a31,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,741.9652,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/394902414.json
way/395533898,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,H,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,178a7961cbb0f441745e18b9c63ab534ccd6a5867fc126ea8c04975a07037ad3,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,436.0084,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/395533898.json
way/395632068,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,H,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,224dda69c45a9aa7f91198d7133e52b5c189327ad18416917bf4bf82f9fd7119,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,445.9715,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/395632068.json
way/395632424,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,H,FALLBACK_PENDING_LAYOUT,3419a7b3f495ffc92fa0cb3c0ebfb3069edd7f6a9c5ce609cc4e6581e1592188,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,213.0388,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/395632424.json
way/395878238,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,baaab15df7d6986d7a99c132ba02b67dedbcde52ac5cd10741bf4ed92a8c6e4b,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,413.0039,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/395878238.json
way/396524027,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT,f1d5e5ad6dceed687e7d7b1cbe30f6f45bd370b177277cc9897e6d35aaf4390d,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,,,,388.115,,,,,openubem/outputs/eu_evidence/EU-21/GB-LDN-STDUNSTANS/layouts/way/396524027.json
