fold,Code_BuildingVariant,Code_BuildingSizeClass,n_Apartment,n_air_infiltration,n_air_use,g_gl_n_Window_1,g_gl_n_Window_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,F_red_temp,h_Transmission,h_Ventilation,delta_U_ThermalBridging,H_Transmission_ThermalBridging,A_C_Ref,n_Storey,h_room,V_C
it,IT.MidClim.MFH.03.Gen.ReEx.001.001,MFH,20,0.4,0.4,0.85,0,1,1,1,1,0,0.5,0,0.8657588320381375,3.5272350388558746,0.68,0.1,224.354,989.4,4,2.5,4388
it,IT.MidClim.MFH.04.Gen.ReEx.001.001,MFH,12,0.4,0.4,0.85,0,1,1,1,1,0,0.5,0,0.8812524092998262,3.0624277210052124,0.68,0.1,156.91,817.1049999999999,3,2.5,3076
it,IT.MidClim.MFH.05.Gen.ReEx.001.001,MFH,10,0.4,0.4,0.85,0,1,1,1,1,0,0.5,0,0.8862109099307287,2.9136727020781374,0.68,0.1,166.74,793.9,5,2.5,3074
it,IT.MidClim.MFH.06.Gen.ReEx.001.001,MFH,12,0.2,0.4,0.75,0,1,1,1,1,0,1,0,0.9131272479894826,2.1061825603155193,0.5100000000000001,0.1,199.37400000000002,1027.6499999999999,3,2.5,4136
it,IT.MidClim.MFH.07.Gen.ReEx.001.001,MFH,15,0.2,0.4,0.67,0,1,1,1,1,0,1,0.5,0.9303626200225998,1.5891213993220048,0.5100000000000001,0.1,190.687,952.425,3,2.5,3526
it,IT.MidClim.MFH.08.Gen.ReEx.001.001,MFH,13,0.1,0.4,0.67,0,1,1,1,1,0,0.5,0,0.971396058032483,0.7860394196751699,0.42500000000000004,0,0,829.4,3,2.5,2959
it,IT.MidClim.MFH-AB.01-03.Gen.ReEx.001.001,MFH,16,0.1,0.4,0.85,0,1,1,1,1,0,0.5,0,0.8941605569850559,2.6751832904483215,0.42500000000000004,0.05486381645093795,121.14040400000003,1035,2,2.5,4113
it,IT.MidClim.MFH-AB.04-05.Gen.ReEx.001.001,MFH,10,0.1,0.4,0.85,0,1,1,1,1,0,0.5,0,0.8942581640747823,2.6722550777565304,0.42500000000000004,0.1,166.74,822,5,2.5,3074
it,IT.MidClim.MFH-AB.06.Gen.ReEx.001.001,MFH,12,0.1,0.4,0.75,0,1,1,1,1,0,1,0,0.9155920086576402,2.0322397402707915,0.42500000000000004,0.05,99.68700000000001,1088,3,2.5,4136
it,IT.MidClim.MFH-AB.07.Gen.ReEx.001.001,MFH,15,0.1,0.4,0.75,0,1,1,1,1,0,1,0.5,0.9268862078941819,1.6934137631745418,0.42500000000000004,0.05,95.3435,975,3,2.5,3526
