excluded_id,prepared_neighbor_id,excluded_blocker_key,prepared_blocker_key,excluded_epc_age_band,prepared_epc_age_band,excluded_storeys,prepared_storeys,excluded_building_type,prepared_building_type,prepared_tabula_period,differing_field
way/1058252123,way/701972626,PERIOD_STRADDLE_DISJOINT_BANDS_E|F|G|I|J,,PERIOD_STRADDLE_DISJOINT_BANDS_E|F|G|I|J,H|I,3.0,3.0,AB,AB,GB.06,epc_age_band
way/1058252124,way/1057072198,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,G,3.0,3.0,TH,TH,GB.05,epc_certificate_found
way/1058252127,way/701972626,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H|I,3.0,3.0,TH,AB,GB.06,building_type
way/1058438117,way/1058438118,PERIOD_STRADDLE_J_GB.06_GB.07,,PERIOD_STRADDLE_J_GB.06_GB.07,G,2.0,2.0,TH,TH,GB.05,epc_age_band
way/1058438117,way/1058438116,PERIOD_STRADDLE_J_GB.06_GB.07,,PERIOD_STRADDLE_J_GB.06_GB.07,H,2.0,2.0,TH,TH,GB.06,epc_age_band
way/1058438119,way/1058438118,PERIOD_STRADDLE_DISJOINT_BANDS_F|H,,PERIOD_STRADDLE_DISJOINT_BANDS_F|H,G,2.0,2.0,TH,TH,GB.05,epc_age_band
way/1058438121,way/1058252128,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H|I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1058438122,way/1058438123,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,G,2.0,2.0,TH,TH,GB.05,epc_certificate_found
way/1058438124,way/1058438123,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,G,2.0,2.0,TH,TH,GB.05,epc_certificate_found
way/1058438126,way/1058438127,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1060522013,way/1060522012,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1061146998,way/397131471,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1061146998,way/1061146999,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1061147000,way/1061147001,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1061147000,way/1061146999,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1061147002,way/1061147001,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1061147004,way/1061147005,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1061147006,way/1061147005,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1061203026,way/1061203027,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1061203030,way/1061203029,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1061203031,way/397131474,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,H,2.0,2.0,TH,TH,GB.06,epc_certificate_found
way/1061203033,way/1061203034,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,2.0,2.0,TH,TH,GB.01,epc_certificate_found
way/1061203035,way/1061203034,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1430302436,way/1430302437,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,C|D,2.0,2.0,TH,TH,GB.03,epc_age_band
way/1430302438,way/1430302437,PERIOD_STRADDLE_DISJOINT_BANDS_E|G,,PERIOD_STRADDLE_DISJOINT_BANDS_E|G,C|D,2.0,2.0,TH,TH,GB.03,epc_age_band
way/1430302440,way/1430302441,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,E|F,2.0,2.0,TH,TH,GB.04,epc_certificate_found
way/1430302442,way/1430302441,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,E|F,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430302442,way/1430302443,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430302444,way/1430302443,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430302477,way/1430302476,PERIOD_STRADDLE_DISJOINT_BANDS_D|H,,PERIOD_STRADDLE_DISJOINT_BANDS_D|H,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430302478,way/1430302479,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430302488,way/1430302487,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430302489,way/1430302490,PERIOD_STRADDLE_F_GB.04_GB.05,,PERIOD_STRADDLE_F_GB.04_GB.05,D|F,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430536822,way/298846073,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,E,2.0,2.0,TH,TH,GB.04,epc_certificate_found
way/1430536823,way/1430536824,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E,,PERIOD_STRADDLE_DISJOINT_BANDS_C|D|E,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430536837,way/1430536838,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430536839,way/1430536838,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,E,2.0,2.0,TH,TH,GB.04,epc_certificate_found
way/1430536863,way/1430536862,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,C|D,2.0,2.0,TH,TH,GB.03,epc_age_band
way/1430536864,way/1430536865,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,D|E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430536873,way/1430536874,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,D|E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430536873,way/298846071,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,D|F,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430536875,way/1430536874,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,D|E,2.0,2.0,TH,TH,GB.04,epc_certificate_found
way/1430536882,way/298846070,PERIOD_STRADDLE_C_GB.02_GB.03,,PERIOD_STRADDLE_C_GB.02_GB.03,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430536884,way/1430536885,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,B|C,2.0,2.0,TH,TH,GB.02,epc_age_band
way/1430536893,way/1430536894,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430536895,way/1430536894,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,E,2.0,2.0,TH,TH,GB.04,epc_age_band
