cell,osm_id,archetype_id,source_storey_count,auto_storey_count,layout_assign_storey_count,layout_assign_storey_count_naive,layout_assign_storey_count_floor,agree,diff_layout_assign_minus_auto,layout_assign_no_baseline_fallback,layout_assign_match_storeys_status,auto_zone_multiplier_gt1,auto_zone_multiplier_max,layout_assign_zone_multiplier_gt1,layout_assign_zone_multiplier_max,auto_attic_zone_count,layout_assign_z_origin_collapse_risk
austin_centre,way/328607260,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328607262,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328607264,QuickServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328607265,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328607266,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328607268,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328607272,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328607273,QuickServiceRestaurant,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328607274,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328607275,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328607277,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328607278,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328607279,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328607282,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328607283,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328622249,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622250,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
