osm_id,join_status,t08_cell,t08_city,t08_archetype_id,t08_floor_area_m2,t08_status,t20_cell,t20_city,t20_archetype_id,t20_floor_area_m2,t20_status,archetype_agree,floor_area_agree_1pct,vintage_t08,vintage_t20,vintage_agree
way/1014148303,in_both,nyc_suburban,NYC,MidriseApartment,139.2196609392249,success,nyc_suburban,NYC,MidriseApartment,139.2196609392249,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148304,in_both,nyc_suburban,NYC,MidriseApartment,112.9500923872577,success,nyc_suburban,NYC,MidriseApartment,112.9500923872577,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148305,in_both,nyc_suburban,NYC,OpenUBEMUnknown,24.4116179362655,success,nyc_suburban,NYC,OpenUBEMUnknown,24.4116179362655,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148306,in_both,nyc_suburban,NYC,MidriseApartment,139.26532237638915,success,nyc_suburban,NYC,MidriseApartment,139.26532237638915,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148307,in_both,nyc_suburban,NYC,OpenUBEMUnknown,33.71268122977902,success,nyc_suburban,NYC,OpenUBEMUnknown,33.71268122977902,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148308,in_both,nyc_suburban,NYC,MidriseApartment,48.50045137387599,success,nyc_suburban,NYC,MidriseApartment,48.50045137387599,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148309,in_both,nyc_suburban,NYC,MidriseApartment,129.91527887579764,success,nyc_suburban,NYC,MidriseApartment,129.91527887579764,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148310,in_both,nyc_suburban,NYC,OpenUBEMUnknown,32.90299923745003,success,nyc_suburban,NYC,OpenUBEMUnknown,32.90299923745003,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148311,in_both,nyc_suburban,NYC,MidriseApartment,122.81810583504206,success,nyc_suburban,NYC,MidriseApartment,122.81810583504206,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148312,in_both,nyc_suburban,NYC,MidriseApartment,285.536211178391,success,nyc_suburban,NYC,MidriseApartment,285.536211178391,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148313,in_both,nyc_suburban,NYC,MidriseApartment,145.5184752923736,success,nyc_suburban,NYC,MidriseApartment,145.5184752923736,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148314,in_both,nyc_suburban,NYC,OpenUBEMUnknown,26.72201848204679,success,nyc_suburban,NYC,OpenUBEMUnknown,26.72201848204679,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148315,in_both,nyc_suburban,NYC,MidriseApartment,142.1551965848495,success,nyc_suburban,NYC,MidriseApartment,142.1551965848495,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
way/1014148316,in_both,nyc_suburban,NYC,OpenUBEMUnknown,56.86589023071014,success,nyc_suburban,NYC,OpenUBEMUnknown,56.86589023071014,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
