cell,stem,status,n_converge_warnings,n_vol_stub,n_temp_out_of_bounds,completed,n_severe_lines,bytes
nyc_centre,way_265301956,success,0,5,0,True,0,11906
nyc_centre,way_265301958,success,0,1,0,True,0,8081
nyc_centre,way_265301959,success,0,112,0,True,0,94973
nyc_centre,way_265301960,success,0,19,0,True,0,21253
nyc_centre,way_265301962,success,0,5,0,True,0,14970
nyc_centre,way_265301964,success,0,56,0,True,0,50300
nyc_centre,way_265301968,success,0,72,0,True,0,63278
nyc_centre,way_265301969,success,0,6,0,True,0,12695
nyc_centre,way_265301972,success,0,13,0,True,0,16483
nyc_centre,way_265301973,success,0,18,0,True,0,20458
nyc_centre,way_265301975,success,0,14,0,True,0,17278
nyc_centre,way_265301976,success,0,5,0,True,0,13727
nyc_centre,way_265301979,success,0,6,0,True,0,13274
nyc_centre,way_265301980,success,0,5,0,True,0,11241
nyc_centre,way_265301981,success,0,12,0,True,0,15688
nyc_centre,way_265301982,success,0,5,0,True,0,13150
nyc_centre,way_265301984,success,0,3,0,True,0,8418
nyc_centre,way_265301986,success,0,6,0,True,0,18260
nyc_centre,way_265301987,success,0,17,0,True,0,19663
nyc_centre,way_265301988,success,0,3,0,True,0,10617
nyc_centre,way_265301991,success,0,5,0,True,0,9998
nyc_centre,way_265301993,success,0,5,0,True,0,9998
nyc_centre,way_265301995,success,0,42,0,True,0,39410
nyc_centre,way_265301998,success,0,31,0,True,0,30630
nyc_centre,way_265302002,success,0,6,0,True,0,10788
nyc_centre,way_265302004,success,0,76,0,True,0,66192
nyc_centre,way_265302008,success,0,13,0,True,0,16483
nyc_centre,way_265302011,success,0,5,0,True,0,12484
nyc_centre,way_265302016,success,0,5,0,True,0,14970
nyc_centre,way_265302023,success,0,20,0,True,0,22130
nyc_centre,way_265302028,success,0,19,0,True,0,21253
nyc_centre,way_265302031,success,0,4,0,True,0,12937
nyc_centre,way_265302034,success,0,6,0,True,0,10788
nyc_centre,way_265302037,success,0,3,0,True,0,8418
nyc_centre,way_265302040,success,0,11,0,True,0,14893
nyc_centre,way_265302042,success,0,84,0,True,0,72417
nyc_centre,way_265302043,success,0,26,0,True,0,26327
nyc_centre,way_265302044,success,0,4,0,True,0,11116
nyc_centre,way_265302045,success,0,3,0,True,0,8418
nyc_centre,way_265302047,success,0,3,0,True,0,8418
nyc_centre,way_265302048,success,0,2,0,True,0,10978
nyc_centre,way_265302050,success,0,5,0,True,0,16505
nyc_centre,way_265302051,success,0,18,0,True,0,37500
nyc_centre,way_265302059,success,0,38,0,True,0,36233
nyc_centre,way_265302062,success,0,1,0,True,0,8156
nyc_centre,way_265302063,success,0,16,0,True,0,18612
nyc_centre,way_265302064,success,0,15,0,True,0,17816
nyc_centre,way_265302066,success,0,24,0,True,0,25087
nyc_centre,way_265302068,success,0,108,0,True,0,91798
nyc_centre,way_265302069,success,0,15,0,True,0,18540
nyc_centre,way_265302070,success,0,16,0,True,0,18444
nyc_centre,way_265302071,success,0,162,0,True,0,133974
nyc_centre,way_265302072,success,0,60,0,True,0,86815
nyc_centre,way_265302075,success,0,1,0,True,0,7980
nyc_centre,way_265302076,success,0,1,0,True,0,7915
nyc_centre,way_265302078,success,0,56,0,True,0,50606
nyc_centre,way_265302079,success,0,4,0,True,0,11274
nyc_centre,way_265302080,success,0,45,0,True,0,41840
nyc_centre,way_265302081,success,0,3,0,True,0,8250
nyc_centre,way_265302082,success,0,4,0,True,0,11526
nyc_centre,way_265302083,success,0,72,0,True,0,63062
nyc_centre,way_265302086,success,0,7,0,True,0,17801
nyc_centre,way_265302087,success,0,60,0,True,0,53466
nyc_centre,way_265302089,success,0,14,0,True,0,17278
nyc_centre,way_265302090,success,0,1,0,True,0,8157
