osm_id,n_warmup_severes_true,converged_true,n_warmup_severes_false,converged_false,eui_true,eui_false,pct_delta
way_772627058,2,False,0,True,129.46944444444443,132.1888888888889,-2.0572413213415284
way_772627059,2,False,0,True,111.10833333333333,113.45277777777778,-2.0664495752026086
way_772627060,0,True,0,True,109.03055555555555,111.32777777777777,-2.0634762213683273
way_772627061,1,False,0,True,107.22222222222221,109.475,-2.0578011215143
way_772627062,0,True,0,True,91.62777777777778,93.25277777777777,-1.7425754371332252
way_772627063,0,True,0,True,96.075,97.93055555555556,-1.894766699758898
way_772627064,2,False,0,True,108.21944444444443,110.50277777777778,-2.066313064025551
way_772627065,2,False,0,True,78.175,79.18055555555556,-1.2699526398877445
way_772627066,1,False,0,True,94.34444444444443,96.12777777777778,-1.855169623764678
way_772627067,2,False,0,True,87.94166666666666,89.40833333333333,-1.6404138316711738
way_772627068,0,True,0,True,94.11944444444444,95.86944444444444,-1.8253991249674035
way_772627069,5,False,0,True,83.94444444444444,85.21111111111111,-1.486504107445559
way_772627071,1,False,0,True,89.64722222222223,91.1861111111111,-1.6876351783592647
way_772627072,1,False,0,True,80.625,81.7638888888889,-1.3928996093086594
way_772627073,0,True,0,True,91.52777777777777,93.14722222222221,-1.7385858706348924
way_772627074,0,True,0,True,91.17777777777778,92.78333333333333,-1.7304353032752517
way_772627075,0,True,0,True,89.075,90.58611111111111,-1.6681487841525806
way_772627076,0,True,0,True,153.61111111111111,156.94444444444443,-2.1238938053097227
way_772627077,2,False,0,True,95.30277777777776,97.13055555555556,-1.881774244287491
way_772627078,1,False,4,False,86.68333333333334,88.09444444444443,-1.6018162325786562
way_772627079,1,False,0,True,97.85833333333333,99.78888888888889,-1.9346397951230392
way_772627081,5,False,0,True,87.20277777777778,88.68888888888888,-1.6756452017038213
way_772627082,2,False,0,True,90.63611111111112,92.21944444444445,-1.7169191843127751
way_772627083,2,False,0,True,92.49166666666667,94.15833333333335,-1.7700681476236884
way_772627084,5,False,0,True,80.38333333333333,81.49999999999999,-1.3701431492842455
way_772627085,0,True,0,True,89.93055555555556,91.48055555555555,-1.6943491330883884
way_772627086,1,False,0,True,80.49444444444444,81.625,-1.3850604049685267
way_772627087,1,False,0,True,81.54722222222222,82.71666666666665,-1.4137954194371598
way_772627088,1,False,0,True,88.67777777777778,90.17222222222222,-1.6573224077382736
way_772627089,4,False,0,True,80.58333333333334,81.72222222222221,-1.3936097892589863
way_772627090,1,False,0,True,88.575,90.06111111111112,-1.65011412004195
way_864013124,0,True,0,True,89.97222222222221,91.525,-1.696561352393107
way_864013126,0,True,0,True,102.40555555555557,104.50833333333334,-2.012067086622541
way_864144721,0,True,0,True,140.93333333333334,143.89166666666665,-2.0559448659292165
way_899599347,4,False,0,True,74.19722222222222,74.98333333333333,-1.0483811217307555
way_899656618,1,False,0,True,80.81944444444444,81.97222222222223,-1.406302948153178
way_900487237,2,False,0,True,95.08611111111111,96.89999999999999,-1.8719183579864636
way_900488595,1,False,0,True,102.84722222222221,104.97222222222221,-2.0243450648319663
way_933154994,3,False,0,True,76.88611111111112,77.85833333333333,-1.2487066966356173
way_964817673,1,False,0,True,84.76666666666667,86.08888888888889,-1.5358802271553957
way_965213412,1,False,0,True,80.69722222222222,81.84166666666667,-1.398364049825206
way_965390712,0,True,0,True,137.2111111111111,140.10833333333332,-2.0678443268105955
