cell,osm_id,archetype_id,use_class,base_storeys_geometry_fallback,treated_storeys_archetype_fallback,recovered_lev_src,archetype_consumed_group_median_today,genuine_disagreement,eligible_for_intervention,tier,footprint_area_m2,on_record_total_eui_kwh_m2
austin_centre,way/328529704,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,113.41048649739355,114.81049459215023
austin_centre,way/328529706,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,140.87701403017752,105.05459523157415
austin_centre,way/328529708,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,529.302680442885,133.19286419931635
austin_centre,way/328529709,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,267.40378913359746,109.12455114122812
austin_centre,way/328529710,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,123.04616636667637,112.52816776677224
austin_centre,way/328529714,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,122.27465166456493,117.87576709776032
austin_centre,way/328535176,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,182.08686447059648,104.63792997564914
austin_centre,way/328535177,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,257.4269766328282,97.41662353764814
austin_centre,way/328535178,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,243.40918275507357,104.92212102026387
austin_centre,way/328535179,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,192.10501626552787,121.29357137449524
austin_centre,way/328535180,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,126.54460979371548,108.6715202017611
austin_centre,way/328535181,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,148.85485294461228,103.38446487083904
austin_centre,way/328535182,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,448.47428277816823,93.04819713575957
austin_centre,way/328605829,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,701.0613123371656,127.8737914764546
austin_centre,way/328605831,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,164.19793341063038,101.52428253585416
austin_centre,way/328605855,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,154.19357325706963,110.7849794676914
