scope,definition,baseline,n,agree_n,agree_rate_pct,mean_signed_diff,max_signed_diff,min_signed_diff
archetype:SuperMarket,layout_assign_storey_count,source_storey_count,5,3,60.0,-0.8,0,-2
archetype:SuperMarket,layout_assign_storey_count_naive,auto_storey_count,5,3,60.0,-0.8,0,-2
archetype:SuperMarket,layout_assign_storey_count_naive,source_storey_count,5,3,60.0,-0.8,0,-2
archetype:SuperMarket,layout_assign_storey_count_floor,auto_storey_count,5,3,60.0,-0.8,0,-2
archetype:SuperMarket,layout_assign_storey_count_floor,source_storey_count,5,3,60.0,-0.8,0,-2
archetype:SuperMarket,layout_assign_storey_count_attic_excluded,auto_storey_count,5,3,60.0,-0.8,0,-2
archetype:SuperMarket,layout_assign_storey_count_attic_excluded,source_storey_count,5,3,60.0,-0.8,0,-2
archetype:SuperTallBuilding,layout_assign_storey_count,auto_storey_count,24,0,0.0,-39.0833,-24,-89
archetype:SuperTallBuilding,layout_assign_storey_count,source_storey_count,24,0,0.0,-39.0833,-24,-89
archetype:SuperTallBuilding,layout_assign_storey_count_naive,auto_storey_count,24,0,0.0,-54.0833,-39,-104
archetype:SuperTallBuilding,layout_assign_storey_count_naive,source_storey_count,24,0,0.0,-54.0833,-39,-104
archetype:SuperTallBuilding,layout_assign_storey_count_floor,auto_storey_count,24,0,0.0,-25.0833,-10,-75
archetype:SuperTallBuilding,layout_assign_storey_count_floor,source_storey_count,24,0,0.0,-25.0833,-10,-75
archetype:SuperTallBuilding,layout_assign_storey_count_attic_excluded,auto_storey_count,24,0,0.0,-25.0833,-10,-75
archetype:SuperTallBuilding,layout_assign_storey_count_attic_excluded,source_storey_count,24,0,0.0,-25.0833,-10,-75
archetype:TallBuilding,layout_assign_storey_count,auto_storey_count,92,0,0.0,-15.1413,-9,-28
archetype:TallBuilding,layout_assign_storey_count,source_storey_count,92,0,0.0,-15.1413,-9,-28
archetype:TallBuilding,layout_assign_storey_count_naive,auto_storey_count,92,0,0.0,-25.1413,-19,-38
archetype:TallBuilding,layout_assign_storey_count_naive,source_storey_count,92,0,0.0,-25.1413,-19,-38
archetype:TallBuilding,layout_assign_storey_count_floor,auto_storey_count,92,4,4.3478,-6.1413,0,-19
archetype:TallBuilding,layout_assign_storey_count_floor,source_storey_count,92,4,4.3478,-6.1413,0,-19
archetype:TallBuilding,layout_assign_storey_count_attic_excluded,auto_storey_count,92,4,4.3478,-6.1413,0,-19
archetype:TallBuilding,layout_assign_storey_count_attic_excluded,source_storey_count,92,4,4.3478,-6.1413,0,-19
archetype:Warehouse,layout_assign_storey_count,auto_storey_count,38,17,44.7368,-0.7632,1,-5
archetype:Warehouse,layout_assign_storey_count,source_storey_count,38,17,44.7368,-0.3684,1,-5
archetype:Warehouse,layout_assign_storey_count_naive,auto_storey_count,38,17,44.7368,-0.7632,1,-5
archetype:Warehouse,layout_assign_storey_count_naive,source_storey_count,38,17,44.7368,-0.3684,1,-5
archetype:Warehouse,layout_assign_storey_count_floor,auto_storey_count,38,4,10.5263,-1.7632,0,-6
archetype:Warehouse,layout_assign_storey_count_floor,source_storey_count,38,10,26.3158,-1.3684,0,-6
archetype:Warehouse,layout_assign_storey_count_attic_excluded,auto_storey_count,38,4,10.5263,-1.7632,0,-6
archetype:Warehouse,layout_assign_storey_count_attic_excluded,source_storey_count,38,10,26.3158,-1.3684,0,-6
