cell,osm_id,idf_stem,outdir,sql_path,err_path,status,dh_water_gj,dh_total_gj,dh_total_kwh,total_end_uses_all_fuels_gj,dh_share_of_total_end_uses,c2_pass,c2_failures,parser_status,parser_total_eui_kwh_m2,parser_floor_area_m2,dh_share_of_parser_total,record_total_eui_kwh_m2,c4_residual_pct,c4_pass,c4b_pass,rank
la_centre,relation/12292681,relation_12292681,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\relation_12292681\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\relation_12292681\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\relation_12292681\out\eplusout.err,ok,40.4,40.4,11222.22222222222,2469.67,0.016358460846995753,True,,success,129.8383799208738,5197.200000000001,0.016630539829062693,129.83837992129662,3.2565853906404617e-10,True,True,0
la_centre,way/425993516,way_425993516,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_425993516\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_425993516\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_425993516\out\eplusout.err,ok,105.42,105.42,29283.333333333332,8870.59,0.011884215142397517,True,,success,150.70829480129694,16130.840000000004,0.012045542703224207,150.70829480544836,2.754604179757384e-09,True,True,1
la_centre,way/427817548,way_427817548,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_427817548\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_427817548\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_427817548\out\eplusout.err,ok,34.43,34.43,9563.888888888889,1940.9199999999998,0.017739010366218083,True,,success,145.80947840951157,3632.01,0.018059333990426377,145.80947840951157,0.0,True,True,2
la_centre,way/427942814,way_427942814,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_427942814\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_427942814\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_427942814\out\eplusout.err,ok,4.71,4.71,1308.3333333333333,280.22999999999996,0.016807622310245157,True,,success,72.23879838314946,1059.46,0.017094772617633876,72.23879838314946,0.0,True,True,3
la_centre,way/428015132,way_428015132,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_428015132\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_428015132\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_centre\way_428015132\out\eplusout.err,ok,50.43,50.43,14008.333333333332,2879.48,0.017513578840624003,True,,success,147.78245489884728,5317.59,0.017825788186204658,147.78245489884725,1.9232127013898798e-14,True,True,4
la_rural,way/222366800,way_222366800,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_222366800\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_222366800\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_222366800\out\eplusout.err,ok,0.67,0.67,186.11111111111111,63.99,0.010470385997812158,True,,success,117.29295425292625,149.94,0.010582368255116468,117.29295425292624,1.2115693398393083e-14,True,True,0
la_rural,way/472961001,way_472961001,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961001\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961001\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961001\out\eplusout.err,ok,0.34,0.34,94.44444444444444,18.759999999999998,0.018123667377398723,True,,success,28.09682861021927,182.12,0.018457015304816488,28.096828610219287,6.322268125144059e-14,True,True,1
la_rural,way/472961050,way_472961050,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961050\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961050\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961050\out\eplusout.err,ok,1.77,1.77,491.6666666666667,152.13,0.011634786038256755,True,,success,106.21339588109878,393.24,0.011771553580378152,106.21339588109876,1.3379531458640521e-14,True,True,2
la_rural,way/472961098,way_472961098,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961098\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961098\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961098\out\eplusout.err,ok,30.45,30.45,8458.333333333332,175.92,0.17309004092769442,True,,success,151.71939423634677,266.32,0.20933406839200047,151.71939423634652,1.6859768400812443e-13,True,True,3
la_rural,way/472961204,way_472961204,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961204\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961204\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\la_rural\way_472961204\out\eplusout.err,ok,0.24,0.24,66.66666666666666,30.709999999999997,0.007815043959622273,True,,success,156.3397623199407,54.14,0.007876278101623675,156.33976231994072,1.8179450325785032e-14,True,True,4
