=== COUNT VERIFICATION ===
corpus,extension,n_source,n_dest,count_match,n_missing_in_dest,n_extra_in_dest
open48_refleet,.err,8160,8160,True,0,0
open48_refleet,.eio,0,0,True,0,0
open48_refleet,.end,8160,8160,True,0,0
open48_refleet,.gpkg,24,24,True,0,0
open48_refleet,.csv,14,14,True,0,0
open48_refleet,.geojson,12,12,True,0,0
open48_refleet,.parquet,36,36,True,0,0
open48_refleet,.json,24,24,True,0,0
open48_refleet,.idf,16332,16332,True,0,0
open48_refleet3,.err,5215,5215,True,0,0
open48_refleet3,.eio,5215,5215,True,0,0
open48_refleet3,.end,5215,5215,True,0,0
open48_refleet3,.gpkg,17,17,True,0,0
open48_refleet3,.csv,9,9,True,0,0
open48_refleet3,.geojson,5,5,True,0,0
open48_refleet3,.parquet,30,30,True,0,0
open48_refleet3,.json,10,10,True,0,0
open48_refleet3,.idf,14213,14213,True,0,0
open48_refleet3_t02a3,.err,0,0,True,0,0
open48_refleet3_t02a3,.eio,0,0,True,0,0
open48_refleet3_t02a3,.end,0,0,True,0,0
open48_refleet3_t02a3,.gpkg,1,1,True,0,0
open48_refleet3_t02a3,.csv,0,0,True,0,0
open48_refleet3_t02a3,.geojson,0,0,True,0,0
open48_refleet3_t02a3,.parquet,2,2,True,0,0
open48_refleet3_t02a3,.json,0,0,True,0,0
open48_refleet3_t02a3,.idf,1589,1589,True,0,0
open48_refleet3_t02a4,.err,1589,1589,True,0,0
open48_refleet3_t02a4,.eio,1589,1589,True,0,0
open48_refleet3_t02a4,.end,1589,1589,True,0,0
open48_refleet3_t02a4,.gpkg,2,2,True,0,0
open48_refleet3_t02a4,.csv,1,1,True,0,0
open48_refleet3_t02a4,.geojson,1,1,True,0,0
open48_refleet3_t02a4,.parquet,3,3,True,0,0
open48_refleet3_t02a4,.json,2,2,True,0,0
open48_refleet3_t02a4,.idf,3178,3178,True,0,0
open48_refleet4,.err,8160,8160,True,0,0
open48_refleet4,.eio,8160,8160,True,0,0
open48_refleet4,.end,8160,8160,True,0,0
open48_refleet4,.gpkg,24,24,True,0,0
open48_refleet4,.csv,15,15,True,0,0
open48_refleet4,.geojson,12,12,True,0,0
open48_refleet4,.parquet,36,36,True,0,0
open48_refleet4,.json,24,24,True,0,0
open48_refleet4,.idf,16336,16336,True,0,0
open48_repeat,.err,738,738,True,0,0
open48_repeat,.eio,0,0,True,0,0
open48_repeat,.end,738,738,True,0,0
open48_repeat,.gpkg,2,2,True,0,0
open48_repeat,.csv,1,1,True,0,0
open48_repeat,.geojson,1,1,True,0,0
open48_repeat,.parquet,3,3,True,0,0
open48_repeat,.json,2,2,True,0,0
open48_repeat,.idf,1479,1479,True,0,0

=== HASH VERIFICATION (200 random + all .gpkg/.parquet) ===
corpus,extension,relpath,src_sha256,dst_sha256,status
open48_refleet,.gpkg,la_centre\01_buildings.gpkg,02e2402d392bda5070474d90e6c133c4b2a75c1462f56dc511fd6fd05f5948e5,02e2402d392bda5070474d90e6c133c4b2a75c1462f56dc511fd6fd05f5948e5,OK
open48_refleet,.gpkg,la_centre\results\05_results.gpkg,e664954123238c211cc9d1bebc96e60a585ae12466dbbe51c97cbf02c90ebec4,e664954123238c211cc9d1bebc96e60a585ae12466dbbe51c97cbf02c90ebec4,OK
open48_refleet,.gpkg,la_rural\01_buildings.gpkg,1d8b8dca42d00f921af7643f6cd2ed07616dfd5a28185f3e6ff1ad67ffdb0cfa,1d8b8dca42d00f921af7643f6cd2ed07616dfd5a28185f3e6ff1ad67ffdb0cfa,OK
open48_refleet,.gpkg,la_rural\results\05_results.gpkg,a2275ddced7070c28b8b0b0c70b2cf5a6cbaeb825c53080b7512f61117330aff,a2275ddced7070c28b8b0b0c70b2cf5a6cbaeb825c53080b7512f61117330aff,OK
open48_refleet,.gpkg,la_suburban\01_buildings.gpkg,d4f374674ba314b35b49bc0dca52b526b39d3f93c9955479c57eecef888d1d60,d4f374674ba314b35b49bc0dca52b526b39d3f93c9955479c57eecef888d1d60,OK
open48_refleet,.gpkg,la_suburban\results\05_results.gpkg,875e5aebe39249cc67aaa3b827cf03dac234be84961026d0a7fd43cb7f5cb595,875e5aebe39249cc67aaa3b827cf03dac234be84961026d0a7fd43cb7f5cb595,OK
open48_refleet,.gpkg,la_urban\01_buildings.gpkg,885693a2f17f661e865e0822c24d0d1da186df3e944ae7f5104d1f2005c80ccd,885693a2f17f661e865e0822c24d0d1da186df3e944ae7f5104d1f2005c80ccd,OK
open48_refleet,.gpkg,la_urban\results\05_results.gpkg,a93e148c1c20ba1a32e4547484be582174d88e761b6fd66076d2251b31fae04a,a93e148c1c20ba1a32e4547484be582174d88e761b6fd66076d2251b31fae04a,OK
open48_refleet,.gpkg,nyc_centre\01_buildings.gpkg,209281d90be483469b24b0193412ffaa8345d9194361de438b305c9cffcfbf43,209281d90be483469b24b0193412ffaa8345d9194361de438b305c9cffcfbf43,OK
open48_refleet,.gpkg,nyc_centre\results\05_results.gpkg,9ee1de0d73a37d449b957ddcb93e3a395d8a4d3e0241479b6cb17e4a08a0d6d0,9ee1de0d73a37d449b957ddcb93e3a395d8a4d3e0241479b6cb17e4a08a0d6d0,OK
open48_refleet,.gpkg,nyc_rural\01_buildings.gpkg,35027f2a3b4b3fe0ba3e0f3d3a0082c3153d342c762a03b8f232d79203faf462,35027f2a3b4b3fe0ba3e0f3d3a0082c3153d342c762a03b8f232d79203faf462,OK
