osm_id,year_built,data_quality_flag,run2_archetype,head_vintage,head_vintage_tier,e02_vintage,e02_archetype,cell
way/265301844,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301845,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301848,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301849,,"generic_tag,no_floors,no_function,no_year",TallBuilding,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,TallBuilding,nyc_centre
way/265301853,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301854,,"no_height,no_year",LargeHotel,90.1-2013,HOTDECK_NEIGHBOR_MED,90.1-2013,LargeHotel,nyc_centre
way/265301856,,"no_floors,no_height,no_year",LargeHotel,90.1-2013,HOTDECK_NEIGHBOR_HIGH,90.1-2013,LargeHotel,nyc_centre
way/265301857,,"generic_tag,no_floors,no_function,no_year",TallBuilding,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,TallBuilding,nyc_centre
way/265301859,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301861,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301862,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301868,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301870,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301871,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301873,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301876,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301877,2013.0,no_height,LargeHotel,90.1-2013,OBSERVED_YEAR,90.1-2013,LargeHotel,nyc_centre
way/265301882,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301883,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301885,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301886,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301888,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301889,2009.0,,LargeHotel,90.1-2007,OBSERVED_YEAR,90.1-2007,LargeHotel,nyc_centre
way/265301894,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301901,,"generic_tag,no_floors,no_function,no_year",MediumOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,MediumOffice,nyc_centre
way/265301903,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/265301908,,"generic_tag,no_floors,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
