cell,osm_id,archetype_id,num_floors,n_proto,old_status,old_multiplier,new_status,new_multiplier,changed
nyc_urban,way/241862269,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862273,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862275,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862276,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862277,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862278,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862285,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862293,SmallOffice,5,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862300,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862302,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862303,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862305,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862307,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862309,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862312,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862314,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862320,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862323,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862328,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862330,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862332,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862334,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862338,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862339,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862341,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862347,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862349,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862350,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862352,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862354,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862356,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862359,MediumOffice,1,3,fallback_shorter,,fallback_shorter,,False
nyc_urban,way/241862361,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862363,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862365,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862367,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862373,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862376,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862377,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862378,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862379,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862381,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862386,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862391,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862394,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862401,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862424,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862427,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862431,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862439,SmallOffice,5,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862447,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862453,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862458,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862461,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862464,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862467,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862472,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862474,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862477,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862480,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862482,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862490,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862496,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862498,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862505,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862512,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862515,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862520,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862528,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862531,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862536,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862542,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862543,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862544,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862546,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862549,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862552,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862555,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862560,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862563,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862571,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862577,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862588,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862593,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862595,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862600,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862605,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
