mode,osm_id,archetype_id,floor_area_m2,status,has_fatal,zoning_strategy,num_zones,resolution_mode,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_eui_kwh_m2,total_eui_kwh_m2
floor,way/472960931,Warehouse,60.01566785955741,success,False,one_zone_per_floor,2,floor,18.57354780617898,0.0,4.863584967854609,11.300400315654294,1.4246476377199808,0.0,11.088684748051689,47.25086547545955
floor,way/472960932,Warehouse,68.16688906379218,success,False,one_zone_per_floor,2,floor,16.63995604511154,0.0,4.883027200958821,11.345573787190201,1.2574085510837436,0.0,9.881353157679468,44.00731874202378
floor,way/472960933,Warehouse,950.0711005348012,success,False,one_zone_per_floor,2,floor,5.1577344849378886,0.0,4.845279401804917,11.257867857450437,0.26808961241459484,0.0,1.2046385890861715,22.73360994569401
floor,way/472960934,Warehouse,174.46363276158667,success,False,one_zone_per_floor,2,floor,9.016011384373956,0.0,4.863584760190339,11.30039983315231,0.5081901547652272,0.0,4.282810620565718,29.970996753047555
fast_zone,way/472960895,MidriseApartment,206.87808236387656,success,False,perimeter_core,2,fast_zone,56.75652198231456,18.590614694918123,3.965491160723449,43.39802567754816,13.17721917410549,0.0,34.62953080320363,170.5174034928134
fast_zone,way/472960999,MidriseApartment,106.55667836374124,success,False,perimeter_core,2,fast_zone,72.64681418122981,21.917317728068987,3.8921784047880816,42.59569660010938,15.985277059289345,0.0,37.50151485672217,194.53879883020775
fast_zone,way/472961028,MidriseApartment,75.2779891356327,success,False,perimeter_core,1,fast_zone,84.25053936732314,21.553440991134647,3.9654911691172003,43.39802576940872,15.782436713822287,0.0,40.019246198329,208.969180209135
fast_zone,way/472961029,MidriseApartment,64.70239900725761,success,False,perimeter_core,1,fast_zone,90.22619041189148,22.544006312777896,3.965491175380045,43.39802583794881,16.695860653560995,0.0,41.40039371126073,218.22996810281992
fast_zone,way/472961098,MidriseApartment,266.3294797152314,success,False,perimeter_core,2,fast_zone,48.082318601079244,17.34170381811765,3.9654911023105788,43.39802503828226,12.191992898835695,0.0,33.94487112508939,158.92440258371482
fast_zone,way/222366800,SmallOffice,149.94484356356114,success,False,perimeter_core,1,fast_zone,22.81557742979593,27.219791926673906,26.465100441814634,27.764777894078968,16.39070471454426,0.0,5.814074621951248,126.47002702885894
fast_zone,way/472960967,SmallOffice,441.6645091840761,success,False,perimeter_core,2,fast_zone,19.715083663186853,26.495317629713288,26.513937297747102,27.816013084400325,15.035366058010833,0.0,2.7856458367764483,118.36136356983485
fast_zone,way/472960970,SmallOffice,29.40207916414758,success,False,perimeter_core,1,fast_zone,54.995907918080306,68.7028270742905,26.46510168578203,27.764779199136495,41.59343047964841,0.0,24.583060476613838,244.10510683355156
fast_zone,way/472960971,SmallOffice,457.1761362533084,success,False,perimeter_core,2,fast_zone,17.581344033479045,24.386899750422693,26.27430288319715,27.564610437719093,13.262965013504957,0.0,2.7332499942770863,111.80337211260003
fast_zone,way/472960975,SmallOffice,131.75197701519377,success,False,perimeter_core,1,fast_zone,24.013860622930398,31.74739504353592,26.31922676947093,27.611740495935663,18.05377280610608,0.0,6.439380718495629,134.18537645647461
