cell,osm_id,archetype_id,floor_area_m2,total_eui_kwh_m2,gap_pct,extract_status,extracted_total_kwh,expected_total_kwh,reconcile_rel_err_pct,reconciled_within_2pct,Heating,Cooling,Interior_Lighting,Interior_Equipment,Water_Systems,Fans,Pumps
la_centre,way/427817563,Warehouse,2305.6000000000004,15.366202850074906,-17.57603648295115,ok,103550.008284,35428.317291132706,192.2803457840696,False,527.77782,4166.667,11047.223106000001,72325.00578600001,3458.33361,6430.55607,0.0
la_centre,way/425993516,LargeOffice,5876.790000000003,111.08068518409787,-26.294245895692985,ok,1541769.567786,652797.8598830549,136.17871052184506,False,50813.892954,88827.784884,60252.782598000005,517238.930268,28136.113362000004,106680.56409000001,20705.557212000003
la_centre,way/425993511,Courthouse,88308.90000000002,100.79614038405174,-15.838614145264629,ok,9061203.502674,8901196.281561188,1.7975923241268885,True,285027.80058,1660761.243972,1737622.361232,2495272.421844,359947.251018,2507222.4228000003,15347.223450000001
la_rural,way/472961221,SmallOffice,43.2,102.86274918901034,-36.34122032066973,ok,4605.555924000001,4443.670764965247,3.6430502527569693,False,519.4444860000001,822.222288,436.111146,1133.3334240000002,588.8889360000001,944.44452,0.0
la_rural,way/472961296,SmallOffice,84.56,89.60276404909698,-27.87030532625685,ok,7891.667298,7576.80972799164,4.155542785311813,False,691.6667219999999,1247.222322,855.5556240000001,2219.444622,1152.7778700000001,1411.111224,0.0
la_rural,way/472961040,SmallOffice,185.35,79.14574758840415,-25.55321933983437,ok,15361.11234,14669.664315510709,4.713454988593031,False,997.2223020000001,2100.000168,1880.5557059999999,4863.889278000001,2522.222424,2305.5557400000002,0.0
la_rural,way/472961122,SmallOffice,870.93,68.46127788302954,-19.71036560180088,ok,62886.116142,59624.980746666915,5.46941123417534,False,2333.33352,6744.444984000001,9083.334060000001,22858.335162000003,11850.000947999999,6755.556096,0.0
la_suburban,way/442634561,MidriseApartment,161.28,112.73620961436876,-20.064063940355,ok,20094.446052000003,18182.095886605395,10.517765263813294,False,4180.5558900000005,969.4445220000001,819.44451,6036.111594,6344.444952,1419.4445580000001,0.0
la_suburban,way/442621955,MidriseApartment,572.2000000000002,92.1738584531116,-16.19644890473966,ok,59519.449206000005,52741.88180687048,12.85044667906908,False,3566.666952,3825.000306,2902.77801,21400.001712,22433.335128000002,4236.11145,0.0
la_suburban,way/442340540,MidriseApartment,780.0400000000004,90.09209695617288,-16.321629153139074,ok,79522.22858400001,70275.43930969313,13.157924539692583,False,3152.77803,5405.555988,3958.33365,29186.113446,30577.780224000002,5663.889342,0.0
