cell,column,osm_id,stage2_value,committed_value
austin_urban,data_quality_flag,way/381824899,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382005672,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382005990,"no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382026991,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382026996,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382026997,"generic_tag,no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382027093,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382027104,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382027164,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382027174,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382027180,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/382027370,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,relation/5682409,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT,idf_hull_simplification"
austin_suburban,data_quality_flag,way/205360641,"no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_suburban,data_quality_flag,way/382991208,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
austin_suburban,data_quality_flag,way/382991470,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
austin_suburban,data_quality_flag,way/382991475,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
austin_suburban,data_quality_flag,way/382991487,"no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_suburban,data_quality_flag,way/382991493,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
austin_suburban,data_quality_flag,way/382994037,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
austin_suburban,data_quality_flag,relation/5698619,"no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
