cell,osm_id,archetype_id,use_class,recovered_levels,recovered_lev_src,genuine_disagreement
nyc_suburban,way/845748830,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748832,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748834,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748835,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748836,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748837,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748840,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748841,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748842,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748843,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748845,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748846,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748848,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748849,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748850,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748851,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748853,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748854,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748856,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748857,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748858,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748859,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748860,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748861,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748862,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748863,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748864,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748865,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748866,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748867,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748868,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748869,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
