osm_id,cell,use_class,archetype_id,archetype_source,levels_source,old_num_floors,new_num_floors_scope_a,new_num_floors_scope_b,changed_scope_a,changed_scope_b
way/402247253,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247254,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247255,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247256,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247257,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247258,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247259,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247260,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247261,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,5,5,5,False,False
way/402247262,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247263,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247264,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247265,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247266,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247267,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247269,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247270,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247271,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247272,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,4,4,4,False,False
way/402247273,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247274,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247275,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247680,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,4,4,4,False,False
way/402247681,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247684,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,4,4,4,False,False
way/402247685,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,4,4,4,False,False
way/402247686,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247687,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,4,4,4,False,False
way/402247688,la_urban,unknown,SmallOffice,FALLBACK_SIZE_DEFAULT,GROUPMEDIAN_LEVELS_MED,1,3,1,True,False
way/402247771,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,4,4,4,False,False
way/402247772,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247773,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,7,7,7,False,False
way/402247774,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247775,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247776,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247938,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247939,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247940,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402247941,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402247942,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,7,7,7,False,False
way/402247943,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402248258,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/402248259,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402248260,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402248261,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402248262,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402248264,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/402250516,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402250517,la_urban,unknown,SmallOffice,FALLBACK_SIZE_DEFAULT,GROUPMEDIAN_LEVELS_MED,1,3,1,True,False
way/402250519,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/402250520,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
