building_id,district,outcome_before,outcome_after,whole_before,whole_after,n_zones_before,n_zones_after,dwellings_after,floor_area_before,floor_area_after,area_delta_pct
way/298850491,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,N,N,4,4,1,982.276,982.276,0.0
way/298850492,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,4,17,5,982.4961,982.2681,-0.023206
way/298850494,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,4,17,5,1363.5885,1363.3683,-0.016149
way/298850495,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,Y,N,6,17,3,6377.415,6377.3025,-0.001764
way/328227197,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,3,17,6,504.2478,504.2456,-0.000436
way/328227198,GB-LDN-STDUNSTANS,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,Y,Y,3,3,1,215.8912,215.8912,0.0
way/328227199,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,17,17,6,611.2855,611.2742,-0.001849
way/328227200,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,43.973,
way/328227201,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,52.0079,52.0079,0.0
way/328227203,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,45.1352,
way/334774519,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,51.3469,
way/360408488,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,33.639,33.639,0.0
way/360408489,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,41.864,
way/360408490,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,29.0794,29.0794,0.0
way/360408492,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,33.642,
